"tabela","categoria","idade_cat","sexo","prev_excesso","erro_excesso","prev_obesidade","erro_obesidade"
"estados","Pernambuco","2a","Feminino",16.77,0.13,6.13,0.09
"estados","Piaui","2a","Feminino",11.65,0.16,3.72,0.09
"estados","Rio Grande do Norte","2a","Feminino",16.28,0.21,5.52,0.13
"estados","Rio Grande do Sul","2a","Feminino",16.25,0.17,5,0.1
"estados","Rio de Janeiro","2a","Feminino",15,0.15,5.08,0.09
"estados","Rondonia","2a","Feminino",10.59,0.32,3.39,0.19
"estados","Roraima","2a","Feminino",10.9,0.44,3.33,0.25
"estados","Santa Catarina","2a","Feminino",12.89,0.25,4.13,0.15
"estados","Sao Paulo","2a","Feminino",13.21,0.1,3.98,0.06
"estados","Sergipe","2a","Feminino",16.02,0.23,5.72,0.15
"estados","Tocantins","2a","Feminino",11.09,0.25,3.67,0.15
"estados","Acre","2a","Masculino",14.96,0.38,5.02,0.23
"estados","Alagoas","2a","Masculino",17.48,0.2,6.53,0.13
"estados","Amapa","2a","Masculino",11.6,0.48,3.84,0.29
"estados","Amazonas","2a","Masculino",12.71,0.16,4.31,0.1
"estados","Bahia","2a","Masculino",12.58,0.09,4.37,0.05
"estados","Ceara","2a","Masculino",19.29,0.12,7.16,0.08
"estados","Distrito Federal","2a","Masculino",11.46,0.43,3.59,0.25
"estados","Espirito Santo","2a","Masculino",12.14,0.22,3.74,0.13
"estados","Goias","2a","Masculino",12.87,0.19,4.55,0.12
"estados","Maranhao","2a","Masculino",13.69,0.12,4.95,0.07
"estados","Mato Grosso","2a","Masculino",13.12,0.25,4.51,0.15
"estados","Mato Grosso do Sul","2a","Masculino",13.4,0.26,4.08,0.15
"estados","Minas Gerais","2a","Masculino",12.78,0.09,4.32,0.05
"estados","Para","2a","Masculino",13.09,0.12,4.46,0.07
"estados","Paraiba","2a","Masculino",15.68,0.16,5.37,0.1
"estados","Parana","2a","Masculino",12.98,0.12,3.81,0.07
"estados","Pernambuco","2a","Masculino",17.84,0.14,6.76,0.09
"estados","Piaui","2a","Masculino",12.8,0.17,4.39,0.1
"estados","Rio Grande do Norte","2a","Masculino",17.92,0.23,6.6,0.15
"estados","Rio Grande do Sul","2a","Masculino",17.26,0.18,5.52,0.11
"estados","Rio de Janeiro","2a","Masculino",16.3,0.16,5.81,0.1
"estados","Rondonia","2a","Masculino",12.34,0.35,4.04,0.21
"estados","Roraima","2a","Masculino",12.7,0.47,4.21,0.29
"estados","Santa Catarina","2a","Masculino",13.78,0.25,4.35,0.15
"estados","Sao Paulo","2a","Masculino",13.91,0.1,4.38,0.06
"estados","Sergipe","2a","Masculino",17.29,0.25,6.57,0.16
"estados","Tocantins","2a","Masculino",12.81,0.26,4.19,0.16
"estados","Acre","3a","Feminino",8.92,0.28,2.55,0.16
"estados","Alagoas","3a","Feminino",12.93,0.17,4.46,0.1
"estados","Amapa","3a","Feminino",7.91,0.36,2.26,0.2
"estados","Amazonas","3a","Feminino",8.07,0.12,2.44,0.07
"estados","Bahia","3a","Feminino",9.02,0.07,2.87,0.04
"estados","Ceara","3a","Feminino",14.99,0.1,5.01,0.06
"estados","Distrito Federal","3a","Feminino",8.72,0.35,2.63,0.2
"estados","Espirito Santo","3a","Feminino",9.28,0.18,2.7,0.1
"estados","Goias","3a","Feminino",9.8,0.15,3.38,0.09
"estados","Maranhao","3a","Feminino",9.05,0.09,2.85,0.05
"estados","Mato Grosso","3a","Feminino",9.87,0.2,2.99,0.11
"estados","Mato Grosso do Sul","3a","Feminino",9.64,0.21,2.88,0.12
"estados","Minas Gerais","3a","Feminino",10.07,0.08,3.23,0.05
"estados","Para","3a","Feminino",7.97,0.09,2.42,0.05
"estados","Paraiba","3a","Feminino",12.42,0.14,4.28,0.08
"estados","Parana","3a","Feminino",11.25,0.12,3.55,0.07
"estados","Pernambuco","3a","Feminino",14.46,0.12,5.23,0.07
"estados","Piaui","3a","Feminino",9.09,0.13,2.9,0.08
"estados","Rio Grande do Norte","3a","Feminino",14.2,0.19,5,0.12
"estados","Rio Grande do Sul","3a","Feminino",14.4,0.15,4.42,0.09
"estados","Rio de Janeiro","3a","Feminino",12.44,0.13,4.15,0.08
"estados","Rondonia","3a","Feminino",8.65,0.27,2.63,0.15
"estados","Roraima","3a","Feminino",8.12,0.34,2.42,0.19
"estados","Santa Catarina","3a","Feminino",11.56,0.22,3.69,0.13
"estados","Sao Paulo","3a","Feminino",12.01,0.09,3.8,0.05
"estados","Sergipe","3a","Feminino",12.36,0.19,4.12,0.12
"estados","Tocantins","3a","Feminino",8.02,0.2,2.51,0.11
"estados","Acre","3a","Masculino",11.18,0.31,3.77,0.19
"estados","Alagoas","3a","Masculino",14.86,0.18,5.8,0.12
"estados","Amapa","3a","Masculino",9.87,0.39,3.32,0.23
"estados","Amazonas","3a","Masculino",10.47,0.13,3.56,0.08
"estados","Bahia","3a","Masculino",10.17,0.07,3.63,0.05
"estados","Ceara","3a","Masculino",17.07,0.11,6.81,0.07
"estados","Distrito Federal","3a","Masculino",9.75,0.37,3.72,0.23
"estados","Espirito Santo","3a","Masculino",10.63,0.19,3.63,0.12
"estados","Goias","3a","Masculino",11.36,0.16,4.15,0.1
"estados","Maranhao","3a","Masculino",10.64,0.1,3.88,0.06
"estados","Mato Grosso","3a","Masculino",11.41,0.22,4.01,0.13
"estados","Mato Grosso do Sul","3a","Masculino",11.82,0.23,3.86,0.14
"estados","Minas Gerais","3a","Masculino",11.33,0.08,4.05,0.05
"estados","Para","3a","Masculino",10.12,0.1,3.42,0.06
"estados","Paraiba","3a","Masculino",13.98,0.14,5.39,0.09
"estados","Parana","3a","Masculino",12.39,0.13,4.23,0.08
"estados","Pernambuco","3a","Masculino",15.77,0.12,6.42,0.08
"estados","Piaui","3a","Masculino",10.4,0.14,3.7,0.09
"estados","Rio Grande do Norte","3a","Masculino",16.37,0.2,6.38,0.13
"estados","Rio Grande do Sul","3a","Masculino",16.01,0.16,5.42,0.1
"estados","Rio de Janeiro","3a","Masculino",14.19,0.14,5.17,0.09
"estados","Rondonia","3a","Masculino",10.39,0.3,3.89,0.19
"estados","Roraima","3a","Masculino",10.59,0.39,3.3,0.23
"estados","Santa Catarina","3a","Masculino",12.75,0.23,4.45,0.14
"estados","Sao Paulo","3a","Masculino",12.88,0.09,4.48,0.06
"estados","Sergipe","3a","Masculino",13.86,0.21,5.32,0.14
"estados","Tocantins","3a","Masculino",9.7,0.22,3.22,0.13
"estados","Acre","4a","Feminino",6.15,0.24,1.97,0.14
"estados","Alagoas","4a","Feminino",9.75,0.14,3.42,0.09
"estados","Amapa","4a","Feminino",4.58,0.27,1.46,0.15
"estados","Amazonas","4a","Feminino",5.72,0.1,1.85,0.06
"estados","Bahia","4a","Feminino",7.14,0.06,2.33,0.04
"estados","Ceara","4a","Feminino",12.31,0.09,4.25,0.06
"estados","Distrito Federal","4a","Feminino",6.67,0.31,2.1,0.18
"estados","Espirito Santo","4a","Feminino",7.79,0.17,2.54,0.1
"estados","Goias","4a","Feminino",8.37,0.14,2.91,0.09
"estados","Maranhao","4a","Feminino",6.19,0.07,2.06,0.04
"estados","Mato Grosso","4a","Feminino",7.87,0.18,2.62,0.11
"estados","Mato Grosso do Sul","4a","Feminino",7.99,0.19,2.59,0.11
"estados","Minas Gerais","4a","Feminino",8.45,0.07,2.9,0.04
"estados","Para","4a","Feminino",5.39,0.07,1.66,0.04
"estados","Paraiba","4a","Feminino",10.3,0.12,3.6,0.08
"estados","Parana","4a","Feminino",10.04,0.12,3.48,0.07
"estados","Pernambuco","4a","Feminino",11.87,0.11,4.47,0.07
"estados","Piaui","4a","Feminino",6.74,0.12,2.07,0.07
"estados","Rio Grande do Norte","4a","Feminino",12.6,0.17,4.58,0.11
"estados","Rio Grande do Sul","4a","Feminino",12.54,0.14,4.38,0.09
"estados","Rio de Janeiro","4a","Feminino",10.55,0.12,3.73,0.07
"estados","Rondonia","4a","Feminino",6.64,0.23,2.19,0.14
"estados","Roraima","4a","Feminino",5.8,0.29,1.75,0.16
"estados","Santa Catarina","4a","Feminino",10.1,0.21,3.52,0.13
"estados","Sao Paulo","4a","Feminino",10.58,0.08,3.74,0.05
"estados","Sergipe","4a","Feminino",9,0.17,3.18,0.1
"estados","Tocantins","4a","Feminino",5.75,0.17,1.87,0.1
"estados","Acre","4a","Masculino",8.14,0.27,2.79,0.16
"estados","Alagoas","4a","Masculino",11.99,0.16,4.65,0.1
"estados","Amapa","4a","Masculino",7.36,0.34,2.41,0.2
"estados","Amazonas","4a","Masculino",7.97,0.12,2.81,0.07
"estados","Bahia","4a","Masculino",8.41,0.07,3.03,0.04
"estados","Ceara","4a","Masculino",14.72,0.1,5.94,0.07
"estados","Distrito Federal","4a","Masculino",8.48,0.35,3.01,0.21
"estados","Espirito Santo","4a","Masculino",8.93,0.18,3.08,0.11
"estados","Goias","4a","Masculino",9.74,0.15,3.76,0.1
"estados","Maranhao","4a","Masculino",7.93,0.08,2.79,0.05
"estados","Mato Grosso","4a","Masculino",9.15,0.2,3.22,0.12
"estados","Mato Grosso do Sul","4a","Masculino",10.04,0.22,3.47,0.13
"estados","Minas Gerais","4a","Masculino",9.97,0.08,3.63,0.05
"estados","Para","4a","Masculino",7.63,0.08,2.41,0.05
"estados","Paraiba","4a","Masculino",12.3,0.13,4.83,0.09
"estados","Parana","4a","Masculino",11.6,0.13,4.31,0.08
"estados","Pernambuco","4a","Masculino",14.07,0.12,5.83,0.08
"estados","Piaui","4a","Masculino",8.35,0.13,2.97,0.08
"estados","Rio Grande do Norte","4a","Masculino",14.8,0.19,5.89,0.13
"estados","Rio Grande do Sul","4a","Masculino",14.35,0.15,5.3,0.1
"estados","Rio de Janeiro","4a","Masculino",12.45,0.13,4.73,0.08
"estados","Rondonia","4a","Masculino",8.28,0.26,2.88,0.16
"estados","Roraima","4a","Masculino",8.11,0.34,2.74,0.21
"estados","Santa Catarina","4a","Masculino",11.52,0.22,4.08,0.14
"estados","Sao Paulo","4a","Masculino",11.73,0.09,4.33,0.05
"estados","Sergipe","4a","Masculino",10.9,0.19,4.25,0.12
"estados","Tocantins","4a","Masculino",7.66,0.2,2.56,0.12
"estados","Acre","5a","Feminino",17.73,0.39,5.84,0.24
"estados","Alagoas","5a","Feminino",23.01,0.21,9.04,0.14
"estados","Amapa","5a","Feminino",15.61,0.48,4.44,0.27
"estados","Amazonas","5a","Feminino",16.46,0.17,5.54,0.1
"estados","Bahia","5a","Feminino",18.54,0.09,6.69,0.06
"estados","Ceara","5a","Feminino",28.36,0.13,11.59,0.09
"estados","Distrito Federal","5a","Feminino",19.97,0.53,6.88,0.34
"estados","Espirito Santo","5a","Feminino",21.25,0.26,7.7,0.17
"estados","Goias","5a","Feminino",21.21,0.22,8.11,0.14
"estados","Maranhao","5a","Feminino",15.84,0.11,5.36,0.07
"estados","Mato Grosso","5a","Feminino",20.51,0.28,7.55,0.18
"estados","Mato Grosso do Sul","5a","Feminino",22.23,0.31,7.19,0.19
"estados","Minas Gerais","5a","Feminino",21.99,0.11,8.3,0.07
"estados","Para","5a","Feminino",15.39,0.11,4.77,0.07
"estados","Paraiba","5a","Feminino",24.06,0.18,9.58,0.12
"estados","Parana","5a","Feminino",25.07,0.18,9.44,0.12
"estados","Pernambuco","5a","Feminino",26.51,0.15,11.17,0.11
"estados","Piaui","5a","Feminino",17.65,0.18,6.01,0.11
"estados","Rio Grande do Norte","5a","Feminino",28.62,0.24,12.06,0.18
"estados","Rio Grande do Sul","5a","Feminino",30.69,0.2,12.26,0.14
"estados","Rio de Janeiro","5a","Feminino",26.08,0.17,10.62,0.12
"estados","Rondonia","5a","Feminino",17.79,0.37,6.48,0.24
"estados","Roraima","5a","Feminino",17.21,0.48,5.13,0.28
"estados","Santa Catarina","5a","Feminino",25.62,0.32,9.7,0.22
"estados","Sao Paulo","5a","Feminino",26.81,0.12,10.5,0.08
"estados","Sergipe","5a","Feminino",22.59,0.25,8.68,0.17
"estados","Tocantins","5a","Feminino",15.92,0.28,5.3,0.17
"estados","Acre","5a","Masculino",22.51,0.43,7.51,0.27
"estados","Alagoas","5a","Masculino",26.7,0.23,11.36,0.16
"estados","Amapa","5a","Masculino",21.14,0.54,6.97,0.33
"estados","Amazonas","5a","Masculino",21.6,0.19,7.39,0.12
"estados","Bahia","5a","Masculino",21.25,0.1,8.17,0.07
"estados","Ceara","5a","Masculino",32.25,0.14,14.81,0.11
"estados","Distrito Federal","5a","Masculino",21.7,0.54,7.56,0.35
"estados","Espirito Santo","5a","Masculino",24.14,0.28,8.86,0.18
"estados","Goias","5a","Masculino",24.64,0.23,10.05,0.16
"estados","Maranhao","5a","Masculino",19.5,0.13,7.18,0.08
"estados","Mato Grosso","5a","Masculino",23.7,0.3,8.94,0.2
"estados","Mato Grosso do Sul","5a","Masculino",27.77,0.34,9.63,0.23
"estados","Minas Gerais","5a","Masculino",25.09,0.12,10.03,0.08
"estados","Para","5a","Masculino",19.92,0.13,6.74,0.08
"estados","Paraiba","5a","Masculino",28.42,0.19,12.48,0.14
"estados","Parana","5a","Masculino",29.14,0.19,11.58,0.13
"estados","Pernambuco","5a","Masculino",29.93,0.16,13.8,0.12
"estados","Piaui","5a","Masculino",21.24,0.2,7.86,0.13
"estados","Rio Grande do Norte","5a","Masculino",33.05,0.26,14.72,0.2
"estados","Rio Grande do Sul","5a","Masculino",35.52,0.21,14.51,0.16
"estados","Rio de Janeiro","5a","Masculino",29.35,0.19,12.33,0.13
"estados","Rondonia","5a","Masculino",21.08,0.41,8.01,0.27
"estados","Roraima","5a","Masculino",22.16,0.54,7.07,0.34
"estados","Santa Catarina","5a","Masculino",30.2,0.34,11.72,0.24
"estados","Sao Paulo","5a","Masculino",29.81,0.13,12.14,0.09
"estados","Sergipe","5a","Masculino",25.33,0.27,10.33,0.19
"estados","Tocantins","5a","Masculino",20.05,0.31,7.09,0.2
"estados","Acre","6a","Feminino",18.07,0.43,5.91,0.26
"estados","Alagoas","6a","Feminino",23.25,0.24,8.72,0.16
"estados","Amapa","6a","Feminino",15.24,0.53,4.94,0.32
"estados","Amazonas","6a","Feminino",17.02,0.19,6.51,0.12
"estados","Bahia","6a","Feminino",19.14,0.1,6.84,0.07
"estados","Ceara","6a","Feminino",28.45,0.15,11.4,0.1
"estados","Distrito Federal","6a","Feminino",19.72,0.6,6.95,0.38
"estados","Espirito Santo","6a","Feminino",21.66,0.28,7.98,0.18
"estados","Goias","6a","Feminino",22.65,0.24,8.57,0.16
"estados","Maranhao","6a","Feminino",15.89,0.13,5.28,0.08
"estados","Mato Grosso","6a","Feminino",21.02,0.31,8.1,0.21
"estados","Mato Grosso do Sul","6a","Feminino",22.59,0.34,7.55,0.22
"estados","Minas Gerais","6a","Feminino",22.67,0.12,8.61,0.08
"estados","Para","6a","Feminino",15.18,0.12,4.68,0.07
"estados","Paraiba","6a","Feminino",24.5,0.19,9.54,0.13
"estados","Parana","6a","Feminino",24.72,0.19,9.11,0.13
"estados","Pernambuco","6a","Feminino",27.22,0.16,11.14,0.12
"estados","Piaui","6a","Feminino",18.02,0.2,6.1,0.12
"estados","Rio Grande do Norte","6a","Feminino",29.59,0.27,12.12,0.19
"estados","Rio Grande do Sul","6a","Feminino",30.61,0.22,12.49,0.15
"estados","Rio de Janeiro","6a","Feminino",27.3,0.19,11.24,0.14
"estados","Rondonia","6a","Feminino",17.54,0.39,5.61,0.24
"estados","Roraima","6a","Feminino",17.34,0.53,4.91,0.3
"estados","Santa Catarina","6a","Feminino",26.21,0.35,10,0.24
"estados","Sao Paulo","6a","Feminino",27.49,0.13,11.04,0.09
"estados","Sergipe","6a","Feminino",22.85,0.28,8.64,0.19
"estados","Tocantins","6a","Feminino",16.84,0.31,5.49,0.19
"estados","Acre","6a","Masculino",20.61,0.47,7.08,0.3
"estados","Alagoas","6a","Masculino",25.57,0.25,11.36,0.18
"estados","Amapa","6a","Masculino",17.98,0.57,6.5,0.37
"estados","Amazonas","6a","Masculino",21.03,0.21,8.24,0.14
"estados","Bahia","6a","Masculino",20.41,0.11,8.19,0.07
"estados","Ceara","6a","Masculino",31.33,0.15,15.18,0.12
"estados","Distrito Federal","6a","Masculino",22.33,0.64,9.19,0.45
"estados","Espirito Santo","6a","Masculino",23.16,0.29,9.05,0.2
"estados","Goias","6a","Masculino",24.7,0.25,10.71,0.18
"estados","Maranhao","6a","Masculino",18.1,0.14,6.81,0.09
"estados","Mato Grosso","6a","Masculino",22.96,0.33,9.34,0.23
"estados","Mato Grosso do Sul","6a","Masculino",26.68,0.37,9.88,0.25
"estados","Minas Gerais","6a","Masculino",24.63,0.13,10.38,0.09
"estados","Para","6a","Masculino",18.22,0.14,6.6,0.09
"estados","Paraiba","6a","Masculino",27.67,0.2,12.42,0.15
"estados","Parana","6a","Masculino",27.72,0.2,11.29,0.14
"estados","Pernambuco","6a","Masculino",29.47,0.18,13.8,0.13
"estados","Piaui","6a","Masculino",19.99,0.21,8.17,0.14
"estados","Rio Grande do Norte","6a","Masculino",32.49,0.29,15.6,0.22
"estados","Rio Grande do Sul","6a","Masculino",34.04,0.23,14.79,0.17
"estados","Rio de Janeiro","6a","Masculino",28.65,0.21,12.99,0.15
"estados","Rondonia","6a","Masculino",20,0.44,7.87,0.29
"estados","Roraima","6a","Masculino",20.61,0.6,6.29,0.36
"estados","Santa Catarina","6a","Masculino",28.75,0.37,11.87,0.26
"estados","Sao Paulo","6a","Masculino",28.98,0.14,12.6,0.1
"estados","Sergipe","6a","Masculino",24.66,0.3,10.62,0.22
"estados","Tocantins","6a","Masculino",19.18,0.34,7.26,0.22
"estados","Acre","7a","Feminino",18.12,0.59,5.77,0.35
"estados","Alagoas","7a","Feminino",24.73,0.34,10.02,0.24
"estados","Amapa","7a","Feminino",18.16,0.88,5.97,0.54
"estados","Amazonas","7a","Feminino",19.16,0.27,7.23,0.18
"estados","Bahia","7a","Feminino",21.47,0.16,7.83,0.1
"estados","Ceara","7a","Feminino",31.09,0.21,12.71,0.15
"estados","Distrito Federal","7a","Feminino",23.91,0.86,8.34,0.56
"estados","Espirito Santo","7a","Feminino",23.2,0.41,8.35,0.27
"estados","Goias","7a","Feminino",26.32,0.36,10.27,0.25
"estados","Maranhao","7a","Feminino",17.62,0.18,5.8,0.11
"estados","Mato Grosso","7a","Feminino",24.32,0.45,9.42,0.3
"estados","Mato Grosso do Sul","7a","Feminino",25.24,0.46,8.96,0.3
"estados","Minas Gerais","7a","Feminino",24.57,0.17,9.58,0.12
"estados","Para","7a","Feminino",17.34,0.18,5.46,0.11
"estados","Paraiba","7a","Feminino",26.93,0.3,10.73,0.21
"estados","Parana","7a","Feminino",26.35,0.26,10.1,0.18
"estados","Pernambuco","7a","Feminino",29.41,0.25,11.86,0.17
"estados","Piaui","7a","Feminino",20.2,0.3,7.02,0.19
"estados","Rio Grande do Norte","7a","Feminino",31.83,0.41,13.29,0.3
"estados","Rio Grande do Sul","7a","Feminino",33.14,0.32,13.74,0.23
"estados","Rio de Janeiro","7a","Feminino",29.47,0.29,12.27,0.21
"estados","Rondonia","7a","Feminino",20.95,0.63,7.63,0.41
"estados","Roraima","7a","Feminino",17.98,0.79,5.6,0.47
"estados","Santa Catarina","7a","Feminino",28.35,0.48,11.2,0.34
"estados","Sao Paulo","7a","Feminino",29.93,0.2,12.42,0.14
"estados","Sergipe","7a","Feminino",24.97,0.43,9.39,0.29
"estados","Tocantins","7a","Feminino",18.13,0.43,6.23,0.27
"estados","Acre","7a","Masculino",19.55,0.82,6.15,0.5
"estados","Alagoas","7a","Masculino",24.93,0.44,11.47,0.33
"estados","Amapa","7a","Masculino",19.97,1.15,6.35,0.7
"estados","Amazonas","7a","Masculino",21.22,0.37,9.12,0.26
"estados","Bahia","7a","Masculino",21.2,0.2,8.71,0.14
"estados","Ceara","7a","Masculino",32.6,0.28,15.53,0.22
"estados","Distrito Federal","7a","Masculino",23.64,1.15,9.69,0.8
"estados","Espirito Santo","7a","Masculino",22.64,0.49,9.22,0.34
"estados","Goias","7a","Masculino",25.14,0.43,10.81,0.31
"estados","Maranhao","7a","Masculino",18.06,0.23,6.6,0.15
"estados","Mato Grosso","7a","Masculino",23.99,0.57,10.56,0.41
"estados","Mato Grosso do Sul","7a","Masculino",27.84,0.61,10.76,0.42
"estados","Minas Gerais","7a","Masculino",24.92,0.2,10.83,0.14
"estados","Para","7a","Masculino",19.08,0.25,6.85,0.16
"estados","Paraiba","7a","Masculino",27.72,0.35,12.62,0.26
"estados","Parana","7a","Masculino",28.16,0.3,12.08,0.22
"estados","Pernambuco","7a","Masculino",30.15,0.32,14.23,0.24
"estados","Piaui","7a","Masculino",20.44,0.37,8.55,0.26
"estados","Rio Grande do Norte","7a","Masculino",32.75,0.51,15.26,0.39
"estados","Rio Grande do Sul","7a","Masculino",34.05,0.36,15.35,0.28
"estados","Rio de Janeiro","7a","Masculino",29.11,0.37,13.66,0.28
"estados","Rondonia","7a","Masculino",21.03,0.82,8.68,0.57
"estados","Roraima","7a","Masculino",19.46,1.15,6.04,0.69
"estados","Santa Catarina","7a","Masculino",28.67,0.54,12.54,0.39
"estados","Sao Paulo","7a","Masculino",30.2,0.25,13.82,0.19
"estados","Sergipe","7a","Masculino",26.02,0.58,11.7,0.42
"estados","Tocantins","7a","Masculino",19.22,0.56,7.79,0.38
"estados","Acre","8a","Feminino",20.16,0.7,6.29,0.42
"estados","Alagoas","8a","Feminino",27.01,0.41,10.99,0.29
"estados","Amapa","8a","Feminino",20.2,1.2,6.32,0.73
"estados","Amazonas","8a","Feminino",19.89,0.32,6.46,0.2
"estados","Bahia","8a","Feminino",24.6,0.21,9.21,0.14
"estados","Ceara","8a","Feminino",32.87,0.26,12.86,0.18
"estados","Distrito Federal","8a","Feminino",24.85,1.12,7.7,0.69
"estados","Espirito Santo","8a","Feminino",26.36,0.53,10.79,0.37
"estados","Goias","8a","Feminino",29.52,0.45,11.89,0.32
"estados","Maranhao","8a","Feminino",19.79,0.21,6.92,0.13
"estados","Mato Grosso","8a","Feminino",27.7,0.53,11.38,0.38
"estados","Mato Grosso do Sul","8a","Feminino",26.95,0.52,9.05,0.34
"estados","Minas Gerais","8a","Feminino",26.78,0.21,10.39,0.14
"estados","Para","8a","Feminino",19.88,0.22,6.27,0.13
"estados","Paraiba","8a","Feminino",29.08,0.38,10.9,0.26
"estados","Parana","8a","Feminino",29.72,0.32,11.39,0.22
"estados","Pernambuco","8a","Feminino",31.13,0.3,12.47,0.21
"estados","Piaui","8a","Feminino",24.53,0.41,8.94,0.27
"estados","Rio Grande do Norte","8a","Feminino",34.76,0.53,14.3,0.39
"estados","Rio Grande do Sul","8a","Feminino",36.46,0.42,16.11,0.32
"estados","Rio de Janeiro","8a","Feminino",32.94,0.38,14.32,0.28
"estados","Rondonia","8a","Feminino",22.7,0.76,6.88,0.46
"estados","Roraima","8a","Feminino",23.29,1,7.12,0.61
"estados","Santa Catarina","8a","Feminino",31.24,0.57,12.74,0.41
"estados","Sao Paulo","8a","Feminino",32.23,0.25,13.49,0.18
"estados","Sergipe","8a","Feminino",28.16,0.53,10.17,0.35
"estados","Tocantins","8a","Feminino",21.82,0.52,7.68,0.33
"estados","Acre","8a","Masculino",17.78,2.15,6.35,1.37
"estados","Alagoas","8a","Masculino",25.04,0.85,11.73,0.63
"estados","Amapa","8a","Masculino",20.24,3.1,8.33,2.13
"estados","Amazonas","8a","Masculino",20.18,0.74,8.68,0.52
"estados","Bahia","8a","Masculino",22.25,0.49,9.38,0.34
"estados","Ceara","8a","Masculino",34.21,0.63,17.16,0.5
"estados","Distrito Federal","8a","Masculino",24,4.93,12,3.75
"estados","Espirito Santo","8a","Masculino",25.65,0.94,11.57,0.69
"estados","Goias","8a","Masculino",28.79,0.83,13.14,0.62
"estados","Maranhao","8a","Masculino",18.05,0.5,6.61,0.32
"estados","Mato Grosso","8a","Masculino",27.14,1.06,12.27,0.78
"estados","Mato Grosso do Sul","8a","Masculino",29.84,1.05,13.2,0.77
"estados","Minas Gerais","8a","Masculino",26.56,0.3,12.37,0.22
"estados","Para","8a","Masculino",20.65,0.59,7.85,0.39
"estados","Paraiba","8a","Masculino",27.29,0.69,12.06,0.5
"estados","Parana","8a","Masculino",29.08,0.42,13.66,0.31
"estados","Pernambuco","8a","Masculino",29.95,0.8,15.43,0.63
"estados","Piaui","8a","Masculino",21.72,0.88,10.54,0.65
"estados","Rio Grande do Norte","8a","Masculino",34.44,1.07,18.23,0.87
"estados","Rio Grande do Sul","8a","Masculino",36.96,0.57,18.02,0.46
"estados","Rio de Janeiro","8a","Masculino",30.46,0.89,14.47,0.68
"estados","Rondonia","8a","Masculino",25.45,1.56,11,1.12
"estados","Roraima","8a","Masculino",28.03,3.91,12.88,2.92
"estados","Santa Catarina","8a","Masculino",31.56,0.76,14.26,0.57
"estados","Sao Paulo","8a","Masculino",33.95,0.46,17.56,0.37
"estados","Sergipe","8a","Masculino",21.92,1.37,9.8,0.99
"estados","Tocantins","8a","Masculino",21.85,0.95,8.29,0.64
"estados","Acre","9a","Feminino",22.18,0.77,6.64,0.46
"estados","Alagoas","9a","Feminino",28.24,0.43,9.92,0.29
"estados","Amapa","9a","Feminino",23.63,1.35,8.01,0.86
"estados","Amazonas","9a","Feminino",21.17,0.34,7.06,0.22
"estados","Bahia","9a","Feminino",25.41,0.22,8.6,0.14
"estados","Ceara","9a","Feminino",33.41,0.26,11.89,0.18
"estados","Distrito Federal","9a","Feminino",24.28,1.21,7.85,0.76
"estados","Espirito Santo","9a","Feminino",28.23,0.57,10.15,0.38
"estados","Goias","9a","Feminino",30.98,0.48,11.27,0.33
"estados","Maranhao","9a","Feminino",20.8,0.22,6.35,0.13
"estados","Mato Grosso","9a","Feminino",29.52,0.56,11.1,0.39
"estados","Mato Grosso do Sul","9a","Feminino",29.24,0.56,10,0.37
"estados","Minas Gerais","9a","Feminino",28.11,0.22,10.13,0.15
"estados","Para","9a","Feminino",20.75,0.23,5.88,0.13
"estados","Paraiba","9a","Feminino",29.74,0.4,10.71,0.27
"estados","Parana","9a","Feminino",31.52,0.35,11.89,0.24
"estados","Pernambuco","9a","Feminino",31.56,0.31,11.66,0.21
"estados","Piaui","9a","Feminino",24.81,0.42,7.71,0.26
"estados","Rio Grande do Norte","9a","Feminino",34.93,0.53,13.76,0.39
"estados","Rio Grande do Sul","9a","Feminino",37.6,0.45,16.12,0.34
"estados","Rio de Janeiro","9a","Feminino",33.76,0.41,14.01,0.3
"estados","Rondonia","9a","Feminino",22.56,0.76,7.79,0.49
"estados","Roraima","9a","Feminino",26.35,1.07,8.47,0.68
"estados","Santa Catarina","9a","Feminino",31.72,0.61,12.39,0.43
"estados","Sao Paulo","9a","Feminino",33.7,0.26,13.79,0.19
"estados","Sergipe","9a","Feminino",28.68,0.54,9.6,0.35
"estados","Tocantins","9a","Feminino",22.63,0.54,7.32,0.33
"estados","Acre","9a","Masculino",20.3,2.47,8.27,1.69
"estados","Alagoas","9a","Masculino",28.86,0.97,13.1,0.72
"estados","Amapa","9a","Masculino",13.85,3.03,3.85,1.69
"estados","Amazonas","9a","Masculino",24.74,0.86,9.84,0.59
"estados","Bahia","9a","Masculino",23.95,0.57,10.34,0.41
"estados","Ceara","9a","Masculino",35.98,0.7,18.58,0.57
"estados","Distrito Federal","9a","Masculino",31.48,6.32,14.81,4.83
"estados","Espirito Santo","9a","Masculino",27.15,1.16,12.04,0.85
"estados","Goias","9a","Masculino",31.86,0.96,14.32,0.73
"estados","Maranhao","9a","Masculino",19.33,0.56,7.08,0.37
"estados","Mato Grosso","9a","Masculino",29.15,1.19,13.03,0.88
"estados","Mato Grosso do Sul","9a","Masculino",31.33,1.16,13.71,0.86
"estados","Minas Gerais","9a","Masculino",28.72,0.33,13.07,0.25
