"tabela","categoria","idade_cat","sexo","prev_excesso","erro_excesso","prev_obesidade","erro_obesidade"
"regiao","sul","3a","Feminino",12.49,0.09,3.9,0.05
"regiao","centro_oeste","3a","Masculino",11.35,0.11,4.01,0.07
"regiao","nordeste","3a","Masculino",13.21,0.04,5.05,0.03
"regiao","norte","3a","Masculino",10.25,0.07,3.47,0.04
"regiao","sudeste","3a","Masculino",12.32,0.05,4.36,0.03
"regiao","sul","3a","Masculino",13.77,0.09,4.7,0.06
"regiao","centro_oeste","4a","Feminino",8.03,0.09,2.71,0.06
"regiao","nordeste","4a","Feminino",9.22,0.03,3.19,0.02
"regiao","norte","4a","Feminino",5.6,0.05,1.77,0.03
"regiao","sudeste","4a","Feminino",9.56,0.05,3.33,0.03
"regiao","sul","4a","Feminino",11.04,0.08,3.84,0.05
"regiao","centro_oeste","4a","Masculino",9.56,0.1,3.5,0.06
"regiao","nordeste","4a","Masculino",11.08,0.04,4.28,0.02
"regiao","norte","4a","Masculino",7.78,0.06,2.58,0.03
"regiao","sudeste","4a","Masculino",10.96,0.05,4.03,0.03
"regiao","sul","4a","Masculino",12.65,0.09,4.65,0.06
"regiao","centro_oeste","5a","Feminino",21.17,0.14,7.67,0.09
"regiao","nordeste","5a","Feminino",22.16,0.05,8.58,0.03
"regiao","norte","5a","Feminino",16.01,0.08,5.15,0.05
"regiao","sudeste","5a","Feminino",24.47,0.07,9.49,0.05
"regiao","sul","5a","Feminino",27.41,0.12,10.61,0.08
"regiao","centro_oeste","5a","Masculino",24.87,0.15,9.49,0.1
"regiao","nordeste","5a","Masculino",25.62,0.05,10.8,0.04
"regiao","norte","5a","Masculino",20.65,0.09,7.06,0.06
"regiao","sudeste","5a","Masculino",27.49,0.08,11.12,0.05
"regiao","sul","5a","Masculino",31.79,0.13,12.75,0.09
"regiao","centro_oeste","6a","Feminino",22.02,0.16,8.11,0.11
"regiao","nordeste","6a","Feminino",22.55,0.06,8.55,0.04
"regiao","norte","6a","Feminino",16.11,0.09,5.32,0.06
"regiao","sudeste","6a","Feminino",25.18,0.08,9.92,0.05
"regiao","sul","6a","Feminino",27.28,0.13,10.59,0.09
"regiao","centro_oeste","6a","Masculino",24.55,0.17,10.08,0.12
"regiao","nordeste","6a","Masculino",24.7,0.06,10.87,0.04
"regiao","norte","6a","Masculino",19.26,0.1,7.14,0.07
"regiao","sudeste","6a","Masculino",26.77,0.08,11.53,0.06
"regiao","sul","6a","Masculino",30.35,0.14,12.75,0.1
"regiao","centro_oeste","7a","Feminino",25.35,0.23,9.58,0.16
"regiao","nordeste","7a","Feminino",24.62,0.08,9.45,0.06
"regiao","norte","7a","Feminino",18.09,0.13,6.09,0.08
"regiao","sudeste","7a","Feminino",27.17,0.12,10.94,0.08
"regiao","sul","7a","Feminino",29.16,0.19,11.61,0.13
"regiao","centro_oeste","7a","Masculino",25.41,0.29,10.67,0.21
"regiao","nordeste","7a","Masculino",25.14,0.1,11.09,0.08
"regiao","norte","7a","Masculino",19.76,0.18,7.51,0.12
"regiao","sudeste","7a","Masculino",27.11,0.14,12.11,0.1
"regiao","sul","7a","Masculino",30.36,0.21,13.33,0.16
"regiao","centro_oeste","8a","Feminino",28.04,0.28,10.72,0.19
"regiao","nordeste","8a","Feminino",27.04,0.1,10.31,0.07
"regiao","norte","8a","Feminino",20.32,0.16,6.51,0.1
"regiao","sudeste","8a","Feminino",29.55,0.14,12.07,0.1
"regiao","sul","8a","Feminino",32.21,0.23,13.18,0.17
"regiao","centro_oeste","8a","Masculino",28.6,0.55,12.92,0.41
"regiao","nordeste","8a","Masculino",25.73,0.24,11.88,0.18
"regiao","norte","8a","Masculino",21.07,0.39,8.4,0.27
"regiao","sudeste","8a","Masculino",28.88,0.24,13.94,0.18
"regiao","sul","8a","Masculino",31.95,0.31,15.12,0.24
"regiao","centro_oeste","9a","Feminino",29.73,0.3,10.69,0.2
"regiao","nordeste","9a","Feminino",27.74,0.11,9.6,0.07
"regiao","norte","9a","Feminino",21.4,0.17,6.54,0.1
"regiao","sudeste","9a","Feminino",30.85,0.15,11.95,0.11
"regiao","sul","9a","Feminino",33.55,0.25,13.36,0.18
"regiao","centro_oeste","9a","Masculino",30.98,0.63,13.8,0.47
"regiao","nordeste","9a","Masculino",27.71,0.27,12.76,0.2
"regiao","norte","9a","Masculino",23.4,0.44,9.54,0.31
"regiao","sudeste","9a","Masculino",30.83,0.26,14.86,0.2
"regiao","sul","9a","Masculino",35.03,0.35,17.3,0.28
"estados","Acre","0 - 5m","Feminino",18.41,2.18,7.3,1.47
"estados","Alagoas","0 - 5m","Feminino",17.7,0.86,7.34,0.59
"estados","Amapa","0 - 5m","Feminino",14.81,4.83,3.7,2.57
"estados","Amazonas","0 - 5m","Feminino",14.95,1.15,5.71,0.75
"estados","Bahia","0 - 5m","Feminino",10.43,0.34,3.41,0.2
"estados","Ceara","0 - 5m","Feminino",15.06,0.6,5.59,0.38
"estados","Distrito Federal","0 - 5m","Feminino",3.39,0.86,0,0
"estados","Espirito Santo","0 - 5m","Feminino",7.77,0.5,2.09,0.27
"estados","Goias","0 - 5m","Feminino",11.56,0.9,3.85,0.54
"estados","Maranhao","0 - 5m","Feminino",18.92,0.92,7.85,0.63
"estados","Mato Grosso","0 - 5m","Feminino",10.34,1.06,3.97,0.68
"estados","Mato Grosso do Sul","0 - 5m","Feminino",7.57,0.42,1.74,0.21
"estados","Minas Gerais","0 - 5m","Feminino",7.09,0.18,2.21,0.1
"estados","Para","0 - 5m","Feminino",12.27,0.62,4.47,0.39
"estados","Paraiba","0 - 5m","Feminino",13.79,0.43,4.39,0.25
"estados","Parana","0 - 5m","Feminino",5.33,0.18,1.33,0.09
"estados","Pernambuco","0 - 5m","Feminino",12.86,0.48,4.41,0.3
"estados","Piaui","0 - 5m","Feminino",13.17,0.9,4.56,0.55
"estados","Rio Grande do Norte","0 - 5m","Feminino",12.71,0.72,3.84,0.41
"estados","Rio Grande do Sul","0 - 5m","Feminino",7.71,0.32,2.31,0.18
"estados","Rio de Janeiro","0 - 5m","Feminino",7.43,0.51,2.19,0.28
"estados","Rondonia","0 - 5m","Feminino",16.82,2.07,7.65,1.47
"estados","Roraima","0 - 5m","Feminino",26.67,5.71,6.67,3.22
"estados","Santa Catarina","0 - 5m","Feminino",5.25,0.28,1.53,0.15
"estados","Sao Paulo","0 - 5m","Feminino",5.42,0.19,1.25,0.09
"estados","Sergipe","0 - 5m","Feminino",21.15,1.3,7.69,0.85
"estados","Tocantins","0 - 5m","Feminino",16.63,1.27,6.44,0.84
"estados","Acre","0 - 5m","Masculino",20.86,2.25,6.75,1.39
"estados","Alagoas","0 - 5m","Masculino",18.57,0.86,6.84,0.56
"estados","Amapa","0 - 5m","Masculino",18.52,5.29,9.26,3.94
"estados","Amazonas","0 - 5m","Masculino",15.76,1.16,6.26,0.77
"estados","Bahia","0 - 5m","Masculino",12.5,0.37,4.2,0.23
"estados","Ceara","0 - 5m","Masculino",17.6,0.64,5.93,0.4
"estados","Distrito Federal","0 - 5m","Masculino",4.63,0.92,0.58,0.33
"estados","Espirito Santo","0 - 5m","Masculino",9.8,0.55,3.13,0.32
"estados","Goias","0 - 5m","Masculino",12.72,0.94,4.53,0.59
"estados","Maranhao","0 - 5m","Masculino",20.61,0.93,7.63,0.61
"estados","Mato Grosso","0 - 5m","Masculino",12.25,1.08,4.05,0.65
"estados","Mato Grosso do Sul","0 - 5m","Masculino",10.79,0.49,3.24,0.28
"estados","Minas Gerais","0 - 5m","Masculino",8.39,0.19,2.63,0.11
"estados","Para","0 - 5m","Masculino",15.01,0.67,4.75,0.4
"estados","Paraiba","0 - 5m","Masculino",15.97,0.45,5.91,0.29
"estados","Parana","0 - 5m","Masculino",6.11,0.19,1.54,0.1
"estados","Pernambuco","0 - 5m","Masculino",15.87,0.52,5.27,0.32
"estados","Piaui","0 - 5m","Masculino",16,0.98,5.07,0.59
"estados","Rio Grande do Norte","0 - 5m","Masculino",15.5,0.79,5,0.47
"estados","Rio Grande do Sul","0 - 5m","Masculino",8.83,0.34,3.09,0.21
"estados","Rio de Janeiro","0 - 5m","Masculino",10.09,0.57,2.68,0.31
"estados","Rondonia","0 - 5m","Masculino",19.21,2.18,9.15,1.59
"estados","Roraima","0 - 5m","Masculino",23.08,5.23,12.31,4.07
"estados","Santa Catarina","0 - 5m","Masculino",6.48,0.3,1.9,0.17
"estados","Sao Paulo","0 - 5m","Masculino",6.82,0.21,1.91,0.12
"estados","Sergipe","0 - 5m","Masculino",22.51,1.31,9.08,0.9
"estados","Tocantins","0 - 5m","Masculino",17.29,1.23,6.04,0.78
"estados","Acre","06 - 11m","Feminino",22.23,0.98,8.52,0.66
"estados","Alagoas","06 - 11m","Feminino",23.49,0.47,8.6,0.31
"estados","Amapa","06 - 11m","Feminino",22.32,1.71,7.89,1.1
"estados","Amazonas","06 - 11m","Feminino",19.61,0.47,7.06,0.3
"estados","Bahia","06 - 11m","Feminino",17.53,0.19,6.08,0.12
"estados","Ceara","06 - 11m","Feminino",24.61,0.28,8.83,0.18
"estados","Distrito Federal","06 - 11m","Feminino",12.7,1.02,4.01,0.6
"estados","Espirito Santo","06 - 11m","Feminino",14.31,0.43,4.35,0.25
"estados","Goias","06 - 11m","Feminino",15.61,0.43,5.33,0.27
"estados","Maranhao","06 - 11m","Feminino",24.45,0.34,9.41,0.23
"estados","Mato Grosso","06 - 11m","Feminino",14.13,0.55,4.45,0.32
"estados","Mato Grosso do Sul","06 - 11m","Feminino",12.7,0.44,3.72,0.25
"estados","Minas Gerais","06 - 11m","Feminino",12.35,0.16,3.9,0.09
"estados","Para","06 - 11m","Feminino",21.73,0.35,7.55,0.22
"estados","Paraiba","06 - 11m","Feminino",20.01,0.3,6.82,0.19
"estados","Parana","06 - 11m","Feminino",10.58,0.18,2.81,0.09
"estados","Pernambuco","06 - 11m","Feminino",20.73,0.29,7.14,0.18
"estados","Piaui","06 - 11m","Feminino",20.12,0.43,7.36,0.28
"estados","Rio Grande do Norte","06 - 11m","Feminino",20.71,0.47,7,0.3
"estados","Rio Grande do Sul","06 - 11m","Feminino",14.78,0.31,4.68,0.18
"estados","Rio de Janeiro","06 - 11m","Feminino",14.98,0.36,4.8,0.22
"estados","Rondonia","06 - 11m","Feminino",18.55,0.91,6.09,0.56
"estados","Roraima","06 - 11m","Feminino",16.69,1.45,5.56,0.89
"estados","Santa Catarina","06 - 11m","Feminino",10.24,0.35,2.74,0.19
"estados","Sao Paulo","06 - 11m","Feminino",10.92,0.18,2.91,0.1
"estados","Sergipe","06 - 11m","Feminino",26.65,0.6,9.97,0.41
"estados","Tocantins","06 - 11m","Feminino",19.16,0.63,6.57,0.39
"estados","Acre","06 - 11m","Masculino",23.43,0.97,9.27,0.67
"estados","Alagoas","06 - 11m","Masculino",25.6,0.49,10.05,0.34
"estados","Amapa","06 - 11m","Masculino",23.21,1.67,10.44,1.21
"estados","Amazonas","06 - 11m","Masculino",20.83,0.49,7.05,0.31
"estados","Bahia","06 - 11m","Masculino",19.3,0.2,6.92,0.13
"estados","Ceara","06 - 11m","Masculino",26.88,0.29,10.33,0.2
"estados","Distrito Federal","06 - 11m","Masculino",12.2,0.99,4.04,0.6
"estados","Espirito Santo","06 - 11m","Masculino",16.5,0.46,5.49,0.28
"estados","Goias","06 - 11m","Masculino",16.7,0.45,6.04,0.29
"estados","Maranhao","06 - 11m","Masculino",26.05,0.35,10.37,0.24
"estados","Mato Grosso","06 - 11m","Masculino",15.12,0.57,4.74,0.34
"estados","Mato Grosso do Sul","06 - 11m","Masculino",15.17,0.48,4.62,0.28
"estados","Minas Gerais","06 - 11m","Masculino",14.14,0.17,4.48,0.1
"estados","Para","06 - 11m","Masculino",24.6,0.36,9.25,0.24
"estados","Paraiba","06 - 11m","Masculino",22.23,0.31,7.58,0.2
"estados","Parana","06 - 11m","Masculino",12.78,0.19,3.39,0.1
"estados","Pernambuco","06 - 11m","Masculino",22.75,0.3,8.39,0.2
"estados","Piaui","06 - 11m","Masculino",21.75,0.45,7.65,0.29
"estados","Rio Grande do Norte","06 - 11m","Masculino",22.93,0.5,7.34,0.31
"estados","Rio Grande do Sul","06 - 11m","Masculino",17.45,0.34,5.92,0.21
"estados","Rio de Janeiro","06 - 11m","Masculino",16.89,0.38,5.63,0.24
"estados","Rondonia","06 - 11m","Masculino",21,0.96,8.3,0.65
"estados","Roraima","06 - 11m","Masculino",20.98,1.59,6.43,0.96
"estados","Santa Catarina","06 - 11m","Masculino",11.99,0.37,3.32,0.21
"estados","Sao Paulo","06 - 11m","Masculino",12.89,0.2,3.51,0.11
"estados","Sergipe","06 - 11m","Masculino",28.08,0.61,11.77,0.44
"estados","Tocantins","06 - 11m","Masculino",21.27,0.66,8.55,0.45
"estados","Acre","12 - 17m","Feminino",20.14,0.69,6.4,0.42
"estados","Alagoas","12 - 17m","Feminino",24.16,0.36,8.53,0.24
"estados","Amapa","12 - 17m","Feminino",21.9,1.16,8.32,0.77
"estados","Amazonas","12 - 17m","Feminino",19.42,0.33,6.37,0.2
"estados","Bahia","12 - 17m","Feminino",18.24,0.15,6.09,0.1
"estados","Ceara","12 - 17m","Feminino",25.63,0.22,8.75,0.14
"estados","Distrito Federal","12 - 17m","Feminino",13.46,0.8,3.49,0.43
"estados","Espirito Santo","12 - 17m","Feminino",16.06,0.37,4.54,0.21
"estados","Goias","12 - 17m","Feminino",16.11,0.33,5.11,0.2
"estados","Maranhao","12 - 17m","Feminino",22.67,0.24,8.4,0.16
"estados","Mato Grosso","12 - 17m","Feminino",14.6,0.42,4.54,0.25
"estados","Mato Grosso do Sul","12 - 17m","Feminino",15.31,0.42,4.49,0.24
"estados","Minas Gerais","12 - 17m","Feminino",15.61,0.15,4.61,0.08
"estados","Para","12 - 17m","Feminino",20.99,0.24,7.13,0.15
"estados","Paraiba","12 - 17m","Feminino",20.89,0.26,6.39,0.15
"estados","Parana","12 - 17m","Feminino",14.09,0.17,3.42,0.09
"estados","Pernambuco","12 - 17m","Feminino",22.51,0.24,7.95,0.15
"estados","Piaui","12 - 17m","Feminino",19.33,0.32,6.33,0.2
"estados","Rio Grande do Norte","12 - 17m","Feminino",22.74,0.38,7.64,0.24
"estados","Rio Grande do Sul","12 - 17m","Feminino",19.24,0.28,5.55,0.16
"estados","Rio de Janeiro","12 - 17m","Feminino",17.85,0.28,5.55,0.17
"estados","Rondonia","12 - 17m","Feminino",16.22,0.64,5.32,0.39
"estados","Roraima","12 - 17m","Feminino",19.06,1.01,6,0.61
"estados","Santa Catarina","12 - 17m","Feminino",14.66,0.37,4.11,0.21
