"tabela","categoria","idade_cat","sexo","region_cadunico","med_altura","med_peso","med_imc","n_dist"
"regiao","sul","0 - 5m","Masculino","Rural",-0.83,-0.45,0.02,4730
"regiao","sul","0 - 5m","Masculino","Urbana",-0.9,-0.47,0.03,24422
"regiao","centro_oeste","06 - 11m","Feminino","Rural",-0.32,0.1,0.41,2059
"regiao","centro_oeste","06 - 11m","Feminino","Urbana",-0.31,0.14,0.45,15860
"regiao","nordeste","06 - 11m","Feminino","Rural",-0.35,0.36,0.78,60246
"regiao","nordeste","06 - 11m","Feminino","Urbana",-0.28,0.39,0.77,86215
"regiao","norte","06 - 11m","Feminino","Rural",-0.61,0.21,0.79,9682
"regiao","norte","06 - 11m","Feminino","Urbana",-0.41,0.29,0.74,20704
"regiao","sudeste","06 - 11m","Feminino","Rural",-0.23,0.18,0.44,16092
"regiao","sudeste","06 - 11m","Feminino","Urbana",-0.29,0.14,0.44,73779
"regiao","sul","06 - 11m","Feminino","Rural",-0.31,0.17,0.48,8990
"regiao","sul","06 - 11m","Feminino","Urbana",-0.29,0.17,0.48,42405
"regiao","centro_oeste","06 - 11m","Masculino","Rural",-0.61,0.02,0.52,2042
"regiao","centro_oeste","06 - 11m","Masculino","Urbana",-0.48,0.06,0.47,15330
"regiao","nordeste","06 - 11m","Masculino","Rural",-0.58,0.26,0.81,59827
"regiao","nordeste","06 - 11m","Masculino","Urbana",-0.48,0.31,0.79,82514
"regiao","norte","06 - 11m","Masculino","Rural",-0.87,0.11,0.83,9674
"regiao","norte","06 - 11m","Masculino","Urbana",-0.64,0.2,0.78,20135
"regiao","sudeste","06 - 11m","Masculino","Rural",-0.41,0.11,0.48,16315
"regiao","sudeste","06 - 11m","Masculino","Urbana",-0.45,0.09,0.48,73053
"regiao","sul","06 - 11m","Masculino","Rural",-0.44,0.13,0.52,9058
"regiao","sul","06 - 11m","Masculino","Urbana",-0.45,0.13,0.53,43258
"regiao","centro_oeste","12 - 17m","Feminino","Rural",-0.49,0.11,0.57,3635
"regiao","centro_oeste","12 - 17m","Feminino","Urbana",-0.42,0.18,0.6,24899
"regiao","nordeste","12 - 17m","Feminino","Rural",-0.47,0.34,0.87,99137
"regiao","nordeste","12 - 17m","Feminino","Urbana",-0.38,0.38,0.85,143031
"regiao","norte","12 - 17m","Feminino","Rural",-0.89,0.04,0.79,19120
"regiao","norte","12 - 17m","Feminino","Urbana",-0.65,0.19,0.8,39038
"regiao","sudeste","12 - 17m","Feminino","Rural",-0.3,0.27,0.63,23666
"regiao","sudeste","12 - 17m","Feminino","Urbana",-0.38,0.26,0.68,114375
"regiao","sul","12 - 17m","Feminino","Rural",-0.34,0.33,0.74,12696
"regiao","sul","12 - 17m","Feminino","Urbana",-0.35,0.33,0.75,57121
"regiao","centro_oeste","12 - 17m","Masculino","Rural",-0.73,-0.02,0.58,3632
"regiao","centro_oeste","12 - 17m","Masculino","Urbana",-0.61,0.08,0.61,24233
"regiao","nordeste","12 - 17m","Masculino","Rural",-0.69,0.21,0.85,98616
"regiao","nordeste","12 - 17m","Masculino","Urbana",-0.59,0.27,0.85,136002
"regiao","norte","12 - 17m","Masculino","Rural",-1.12,-0.1,0.78,19363
"regiao","norte","12 - 17m","Masculino","Urbana",-0.9,0.06,0.82,37257
"regiao","sudeste","12 - 17m","Masculino","Rural",-0.49,0.18,0.64,24010
"regiao","sudeste","12 - 17m","Masculino","Urbana",-0.55,0.17,0.68,111991
"regiao","sul","12 - 17m","Masculino","Rural",-0.49,0.24,0.73,12673
"regiao","sul","12 - 17m","Masculino","Urbana",-0.51,0.27,0.78,57308
"regiao","centro_oeste","18 - 23m","Feminino","Rural",-0.53,0.08,0.57,5080
"regiao","centro_oeste","18 - 23m","Feminino","Urbana",-0.41,0.17,0.6,32271
"regiao","nordeste","18 - 23m","Feminino","Rural",-0.45,0.23,0.72,130647
"regiao","nordeste","18 - 23m","Feminino","Urbana",-0.37,0.3,0.74,189187
"regiao","norte","18 - 23m","Feminino","Rural",-0.99,-0.15,0.66,27829
"regiao","norte","18 - 23m","Feminino","Urbana",-0.73,0.05,0.69,54833
"regiao","sudeste","18 - 23m","Feminino","Rural",-0.27,0.25,0.59,30396
"regiao","sudeste","18 - 23m","Feminino","Urbana",-0.37,0.25,0.68,149133
"regiao","sul","18 - 23m","Feminino","Rural",-0.32,0.33,0.74,15322
"regiao","sul","18 - 23m","Feminino","Urbana",-0.33,0.35,0.77,67294
"regiao","centro_oeste","18 - 23m","Masculino","Rural",-0.67,-0.03,0.56,5046
"regiao","centro_oeste","18 - 23m","Masculino","Urbana",-0.56,0.08,0.61,31723
"regiao","nordeste","18 - 23m","Masculino","Rural",-0.62,0.12,0.71,129533
"regiao","nordeste","18 - 23m","Masculino","Urbana",-0.54,0.19,0.74,181247
"regiao","norte","18 - 23m","Masculino","Rural",-1.18,-0.26,0.66,28218
"regiao","norte","18 - 23m","Masculino","Urbana",-0.9,-0.06,0.71,52768
"regiao","sudeste","18 - 23m","Masculino","Rural",-0.42,0.16,0.6,30530
"regiao","sudeste","18 - 23m","Masculino","Urbana",-0.51,0.17,0.69,144842
"regiao","sul","18 - 23m","Masculino","Rural",-0.46,0.26,0.76,15141
"regiao","sul","18 - 23m","Masculino","Urbana",-0.45,0.29,0.8,67378
"regiao","centro_oeste","2a","Feminino","Rural",-0.31,0.02,0.3,10251
"regiao","centro_oeste","2a","Feminino","Urbana",-0.2,0.12,0.33,63883
"regiao","nordeste","2a","Feminino","Rural",-0.27,0.07,0.33,243967
"regiao","nordeste","2a","Feminino","Urbana",-0.2,0.16,0.39,364698
"regiao","norte","2a","Feminino","Rural",-0.87,-0.36,0.26,58439
"regiao","norte","2a","Feminino","Urbana",-0.6,-0.15,0.31,112398
"regiao","sudeste","2a","Feminino","Rural",-0.07,0.17,0.29,55115
"regiao","sudeste","2a","Feminino","Urbana",-0.18,0.2,0.44,287180
"regiao","sul","2a","Feminino","Rural",-0.13,0.28,0.5,26344
"regiao","sul","2a","Feminino","Urbana",-0.15,0.3,0.55,114210
"regiao","centro_oeste","2a","Masculino","Rural",-0.41,0.01,0.37,10142
"regiao","centro_oeste","2a","Masculino","Urbana",-0.29,0.08,0.36,63126
"regiao","nordeste","2a","Masculino","Rural",-0.38,0.03,0.37,243357
"regiao","nordeste","2a","Masculino","Urbana",-0.3,0.12,0.43,352338
"regiao","norte","2a","Masculino","Rural",-0.99,-0.4,0.32,59179
"regiao","norte","2a","Masculino","Urbana",-0.71,-0.18,0.36,109810
"regiao","sudeste","2a","Masculino","Rural",-0.16,0.14,0.33,55455
"regiao","sudeste","2a","Masculino","Urbana",-0.27,0.16,0.46,278508
"regiao","sul","2a","Masculino","Rural",-0.2,0.26,0.54,26611
"regiao","sul","2a","Masculino","Urbana",-0.21,0.28,0.58,113970
"regiao","centro_oeste","3a","Feminino","Rural",-0.25,-0.01,0.22,12313
"regiao","centro_oeste","3a","Feminino","Urbana",-0.12,0.07,0.21,73118
"regiao","nordeste","3a","Feminino","Rural",-0.24,-0.05,0.15,281270
"regiao","nordeste","3a","Feminino","Urbana",-0.17,0.05,0.23,418594
"regiao","norte","3a","Feminino","Rural",-0.86,-0.5,0.07,70593
"regiao","norte","3a","Feminino","Urbana",-0.6,-0.29,0.12,133895
"regiao","sudeste","3a","Feminino","Rural",-0.02,0.11,0.19,63197
"regiao","sudeste","3a","Feminino","Urbana",-0.11,0.16,0.34,327711
"regiao","sul","3a","Feminino","Rural",-0.12,0.22,0.44,28848
"regiao","sul","3a","Feminino","Urbana",-0.12,0.24,0.47,113476
"regiao","centro_oeste","3a","Masculino","Rural",-0.24,0.09,0.36,12237
"regiao","centro_oeste","3a","Masculino","Urbana",-0.12,0.13,0.31,72458
"regiao","nordeste","3a","Masculino","Rural",-0.25,0.01,0.25,280620
"regiao","nordeste","3a","Masculino","Urbana",-0.17,0.11,0.33,406647
"regiao","norte","3a","Masculino","Rural",-0.9,-0.43,0.24,71445
"regiao","norte","3a","Masculino","Urbana",-0.61,-0.22,0.26,130987
"regiao","sudeste","3a","Masculino","Rural",-0.04,0.17,0.29,63554
"regiao","sudeste","3a","Masculino","Urbana",-0.11,0.21,0.42,319125
"regiao","sul","3a","Masculino","Rural",-0.11,0.3,0.54,28760
"regiao","sul","3a","Masculino","Urbana",-0.1,0.32,0.56,112007
"regiao","centro_oeste","4a","Feminino","Rural",-0.2,-0.04,0.13,12504
"regiao","centro_oeste","4a","Feminino","Urbana",-0.06,0.04,0.12,73552
"regiao","nordeste","4a","Feminino","Rural",-0.23,-0.14,0,287056
"regiao","nordeste","4a","Feminino","Urbana",-0.15,-0.02,0.12,431317
"regiao","norte","4a","Feminino","Rural",-0.82,-0.58,-0.1,72166
"regiao","norte","4a","Feminino","Urbana",-0.58,-0.37,-0.01,139110
"regiao","sudeste","4a","Feminino","Rural",-0.02,0.04,0.09,64739
"regiao","sudeste","4a","Feminino","Urbana",-0.06,0.14,0.26,333043
"regiao","sul","4a","Feminino","Rural",-0.1,0.19,0.38,29993
"regiao","sul","4a","Feminino","Urbana",-0.09,0.21,0.41,111613
"regiao","centro_oeste","4a","Masculino","Rural",-0.15,0.1,0.31,12231
"regiao","centro_oeste","4a","Masculino","Urbana",-0.03,0.15,0.27,71897
"regiao","nordeste","4a","Masculino","Rural",-0.2,-0.02,0.17,282220
"regiao","nordeste","4a","Masculino","Urbana",-0.11,0.1,0.27,409340
"regiao","norte","4a","Masculino","Rural",-0.81,-0.45,0.13,72007
"regiao","norte","4a","Masculino","Urbana",-0.54,-0.24,0.18,133232
"regiao","sudeste","4a","Masculino","Rural",0.02,0.18,0.25,64862
"regiao","sudeste","4a","Masculino","Urbana",-0.02,0.24,0.4,320595
"regiao","sul","4a","Masculino","Rural",-0.06,0.32,0.56,29749
"regiao","sul","4a","Masculino","Urbana",-0.03,0.34,0.55,108901
"regiao","centro_oeste","5a","Feminino","Rural",-0.1,0.01,0.09,11579
"regiao","centro_oeste","5a","Feminino","Urbana",0.03,0.08,0.08,68519
"regiao","nordeste","5a","Feminino","Rural",-0.18,-0.13,-0.04,270884
"regiao","nordeste","5a","Feminino","Urbana",-0.08,0.02,0.09,405125
"regiao","norte","5a","Feminino","Rural",-0.73,-0.56,-0.16,67137
"regiao","norte","5a","Feminino","Urbana",-0.49,-0.33,-0.05,130395
"regiao","sudeste","5a","Feminino","Rural",0.02,0.07,0.07,60526
"regiao","sudeste","5a","Feminino","Urbana",0.03,0.2,0.25,308849
"regiao","sul","5a","Feminino","Rural",-0.03,0.21,0.32,29181
"regiao","sul","5a","Feminino","Urbana",0.01,0.27,0.37,104136
"regiao","centro_oeste","5a","Masculino","Rural",-0.12,0.12,0.26,11444
"regiao","centro_oeste","5a","Masculino","Urbana",0.01,0.18,0.22,66641
"regiao","nordeste","5a","Masculino","Rural",-0.21,-0.04,0.11,265382
"regiao","nordeste","5a","Masculino","Urbana",-0.1,0.12,0.24,379506
