"tabela","categoria","idade_cat","sexo","region_cadunico","med_altura","med_peso","med_imc","n_dist"
"estados","Tocantins","0 - 5m","Feminino","Rural",-0.43,0.27,0.75,140
"estados","Tocantins","0 - 5m","Feminino","Urbana",-0.4,0.04,0.39,714
"estados","Acre","0 - 5m","Masculino","Rural",-0.98,-0.27,0.39,118
"estados","Acre","0 - 5m","Masculino","Urbana",-0.31,0.23,0.55,208
"estados","Alagoas","0 - 5m","Masculino","Rural",-0.81,-0.08,0.54,915
"estados","Alagoas","0 - 5m","Masculino","Urbana",-0.7,-0.09,0.44,1131
"estados","Amapa","0 - 5m","Masculino","Rural",-1.74,-0.41,0.96,5
"estados","Amapa","0 - 5m","Masculino","Urbana",-0.43,-0.07,0.23,49
"estados","Amazonas","0 - 5m","Masculino","Rural",-0.63,0.08,0.62,190
"estados","Amazonas","0 - 5m","Masculino","Urbana",-0.32,0.14,0.46,800
"estados","Bahia","0 - 5m","Masculino","Rural",-0.36,-0.04,0.23,3324
"estados","Bahia","0 - 5m","Masculino","Urbana",-0.26,0,0.21,4596
"estados","Ceara","0 - 5m","Masculino","Rural",-0.66,0.05,0.59,1351
"estados","Ceara","0 - 5m","Masculino","Urbana",-0.46,0.18,0.62,2154
"estados","Distrito Federal","0 - 5m","Masculino","Rural",-0.54,0.04,0.48,54
"estados","Distrito Federal","0 - 5m","Masculino","Urbana",-0.39,-0.2,0.02,464
"estados","Espirito Santo","0 - 5m","Masculino","Rural",-0.51,-0.13,0.22,896
"estados","Espirito Santo","0 - 5m","Masculino","Urbana",-0.55,-0.17,0.18,2042
"estados","Goias","0 - 5m","Masculino","Rural",-0.46,-0.13,0.17,113
"estados","Goias","0 - 5m","Masculino","Urbana",-0.52,-0.2,0.13,1145
"estados","Maranhao","0 - 5m","Masculino","Rural",-0.52,0.1,0.57,666
"estados","Maranhao","0 - 5m","Masculino","Urbana",-0.42,0.1,0.49,1221
"estados","Mato Grosso","0 - 5m","Masculino","Rural",-0.55,-0.18,0.18,124
"estados","Mato Grosso","0 - 5m","Masculino","Urbana",-0.61,-0.15,0.27,790
"estados","Mato Grosso do Sul","0 - 5m","Masculino","Rural",-0.65,-0.02,0.52,205
"estados","Mato Grosso do Sul","0 - 5m","Masculino","Urbana",-0.75,-0.26,0.23,3808
"estados","Minas Gerais","0 - 5m","Masculino","Rural",-0.78,-0.39,0.08,4855
"estados","Minas Gerais","0 - 5m","Masculino","Urbana",-0.84,-0.47,-0.01,16994
"estados","Para","0 - 5m","Masculino","Rural",-0.67,-0.01,0.52,859
"estados","Para","0 - 5m","Masculino","Urbana",-0.43,0.05,0.42,2005
"estados","Paraiba","0 - 5m","Masculino","Rural",-0.64,0.05,0.59,2526
"estados","Paraiba","0 - 5m","Masculino","Urbana",-0.6,0.03,0.52,4074
"estados","Parana","0 - 5m","Masculino","Rural",-0.82,-0.46,0.01,2480
"estados","Parana","0 - 5m","Masculino","Urbana",-0.86,-0.47,0,13252
"estados","Pernambuco","0 - 5m","Masculino","Rural",-0.71,-0.09,0.45,1909
"estados","Pernambuco","0 - 5m","Masculino","Urbana",-0.69,-0.07,0.45,3064
"estados","Piaui","0 - 5m","Masculino","Rural",-0.42,0.15,0.54,625
"estados","Piaui","0 - 5m","Masculino","Urbana",-0.37,0.12,0.46,775
"estados","Rio Grande do Norte","0 - 5m","Masculino","Rural",-0.37,0.08,0.42,667
"estados","Rio Grande do Norte","0 - 5m","Masculino","Urbana",-0.52,0.1,0.55,1455
"estados","Rio Grande do Sul","0 - 5m","Masculino","Rural",-0.9,-0.44,0.1,914
"estados","Rio Grande do Sul","0 - 5m","Masculino","Urbana",-0.99,-0.47,0.11,5858
"estados","Rio de Janeiro","0 - 5m","Masculino","Rural",-1.03,-0.37,0.29,350
"estados","Rio de Janeiro","0 - 5m","Masculino","Urbana",-0.83,-0.32,0.18,2444
"estados","Rondonia","0 - 5m","Masculino","Rural",-0.12,0.24,0.45,110
"estados","Rondonia","0 - 5m","Masculino","Urbana",-0.63,0.11,0.66,218
"estados","Roraima","0 - 5m","Masculino","Rural",-0.48,0.45,0.99,8
"estados","Roraima","0 - 5m","Masculino","Urbana",-1.13,-0.01,0.92,57
"estados","Santa Catarina","0 - 5m","Masculino","Rural",-0.81,-0.45,0,1336
"estados","Santa Catarina","0 - 5m","Masculino","Urbana",-0.89,-0.48,0.01,5312
"estados","Sao Paulo","0 - 5m","Masculino","Rural",-0.86,-0.43,0.06,1410
"estados","Sao Paulo","0 - 5m","Masculino","Urbana",-0.84,-0.41,0.08,12656
"estados","Sergipe","0 - 5m","Masculino","Rural",-0.65,0.21,0.82,401
"estados","Sergipe","0 - 5m","Masculino","Urbana",-0.58,0.19,0.74,612
"estados","Tocantins","0 - 5m","Masculino","Rural",-0.54,0.13,0.62,169
"estados","Tocantins","0 - 5m","Masculino","Urbana",-0.64,-0.04,0.46,774
"estados","Acre","06 - 11m","Feminino","Rural",-0.74,0.18,0.85,801
"estados","Acre","06 - 11m","Feminino","Urbana",-0.41,0.3,0.75,994
"estados","Alagoas","06 - 11m","Feminino","Rural",-0.42,0.4,0.89,3528
"estados","Alagoas","06 - 11m","Feminino","Urbana",-0.36,0.42,0.87,4623
"estados","Amapa","06 - 11m","Feminino","Rural",-0.8,0.33,1.1,115
"estados","Amapa","06 - 11m","Feminino","Urbana",-0.57,0.31,0.88,481
"estados","Amazonas","06 - 11m","Feminino","Rural",-0.6,0.07,0.59,1750
"estados","Amazonas","06 - 11m","Feminino","Urbana",-0.46,0.26,0.73,5515
"estados","Bahia","06 - 11m","Feminino","Rural",-0.24,0.29,0.59,16739
"estados","Bahia","06 - 11m","Feminino","Urbana",-0.2,0.29,0.58,22300
"estados","Ceara","06 - 11m","Feminino","Rural",-0.37,0.45,0.93,11108
"estados","Ceara","06 - 11m","Feminino","Urbana",-0.3,0.49,0.93,13029
"estados","Distrito Federal","06 - 11m","Feminino","Rural",-0.37,0.01,0.32,158
"estados","Distrito Federal","06 - 11m","Feminino","Urbana",-0.33,0,0.28,913
"estados","Espirito Santo","06 - 11m","Feminino","Rural",0.05,0.35,0.46,1796
"estados","Espirito Santo","06 - 11m","Feminino","Urbana",-0.07,0.36,0.56,4828
"estados","Goias","06 - 11m","Feminino","Rural",-0.25,0.09,0.35,691
"estados","Goias","06 - 11m","Feminino","Urbana",-0.32,0.13,0.45,6418
"estados","Maranhao","06 - 11m","Feminino","Rural",-0.61,0.27,0.88,6353
"estados","Maranhao","06 - 11m","Feminino","Urbana",-0.49,0.31,0.83,9922
"estados","Mato Grosso","06 - 11m","Feminino","Rural",-0.35,0.12,0.46,643
"estados","Mato Grosso","06 - 11m","Feminino","Urbana",-0.37,0.12,0.47,3420
"estados","Mato Grosso do Sul","06 - 11m","Feminino","Rural",-0.34,0.11,0.44,567
"estados","Mato Grosso do Sul","06 - 11m","Feminino","Urbana",-0.24,0.19,0.47,5109
"estados","Minas Gerais","06 - 11m","Feminino","Rural",-0.24,0.16,0.42,10496
"estados","Minas Gerais","06 - 11m","Feminino","Urbana",-0.29,0.1,0.38,32912
"estados","Para","06 - 11m","Feminino","Rural",-0.64,0.25,0.87,5268
"estados","Para","06 - 11m","Feminino","Urbana",-0.41,0.33,0.79,9014
"estados","Paraiba","06 - 11m","Feminino","Rural",-0.33,0.43,0.86,6338
"estados","Paraiba","06 - 11m","Feminino","Urbana",-0.24,0.44,0.8,11318
"estados","Parana","06 - 11m","Feminino","Rural",-0.28,0.16,0.45,4923
"estados","Parana","06 - 11m","Feminino","Urbana",-0.26,0.17,0.44,25604
"estados","Pernambuco","06 - 11m","Feminino","Rural",-0.36,0.34,0.77,7193
"estados","Pernambuco","06 - 11m","Feminino","Urbana",-0.28,0.4,0.78,12239
"estados","Piaui","06 - 11m","Feminino","Rural",-0.43,0.28,0.74,3989
"estados","Piaui","06 - 11m","Feminino","Urbana",-0.27,0.36,0.73,4841
"estados","Rio Grande do Norte","06 - 11m","Feminino","Rural",-0.25,0.43,0.8,2659
"estados","Rio Grande do Norte","06 - 11m","Feminino","Urbana",-0.24,0.48,0.86,4814
"estados","Rio Grande do Sul","06 - 11m","Feminino","Rural",-0.4,0.25,0.66,2333
"estados","Rio Grande do Sul","06 - 11m","Feminino","Urbana",-0.35,0.23,0.6,10948
"estados","Rio de Janeiro","06 - 11m","Feminino","Rural",-0.31,0.25,0.61,1125
"estados","Rio de Janeiro","06 - 11m","Feminino","Urbana",-0.33,0.2,0.55,8739
"estados","Rondonia","06 - 11m","Feminino","Rural",-0.35,0.26,0.64,753
"estados","Rondonia","06 - 11m","Feminino","Urbana",-0.39,0.22,0.63,1085
"estados","Roraima","06 - 11m","Feminino","Rural",-0.51,0.08,0.53,139
"estados","Roraima","06 - 11m","Feminino","Urbana",-0.44,0.28,0.73,526
"estados","Santa Catarina","06 - 11m","Feminino","Rural",-0.29,0.08,0.35,1734
"estados","Santa Catarina","06 - 11m","Feminino","Urbana",-0.32,0.09,0.38,5853
"estados","Sao Paulo","06 - 11m","Feminino","Rural",-0.34,0.14,0.46,2675
"estados","Sao Paulo","06 - 11m","Feminino","Urbana",-0.33,0.13,0.44,27300
"estados","Sergipe","06 - 11m","Feminino","Rural",-0.37,0.5,1,2339
"estados","Sergipe","06 - 11m","Feminino","Urbana",-0.19,0.58,0.97,3129
"estados","Tocantins","06 - 11m","Feminino","Rural",-0.51,0.27,0.78,856
"estados","Tocantins","06 - 11m","Feminino","Urbana",-0.34,0.25,0.63,3089
"estados","Acre","06 - 11m","Masculino","Rural",-0.9,0.09,0.83,844
"estados","Acre","06 - 11m","Masculino","Urbana",-0.46,0.28,0.74,1055
"estados","Alagoas","06 - 11m","Masculino","Rural",-0.66,0.28,0.9,3503
"estados","Alagoas","06 - 11m","Masculino","Urbana",-0.55,0.32,0.87,4329
"estados","Amapa","06 - 11m","Masculino","Rural",-0.77,0.14,0.79,125
"estados","Amapa","06 - 11m","Masculino","Urbana",-0.96,0.08,0.87,517
"estados","Amazonas","06 - 11m","Masculino","Rural",-1.01,-0.07,0.7,1677
"estados","Amazonas","06 - 11m","Masculino","Urbana",-0.64,0.18,0.75,5120
"estados","Bahia","06 - 11m","Masculino","Rural",-0.44,0.17,0.58,16414
"estados","Bahia","06 - 11m","Masculino","Urbana",-0.36,0.23,0.6,21224
"estados","Ceara","06 - 11m","Masculino","Rural",-0.66,0.35,0.99,10531
"estados","Ceara","06 - 11m","Masculino","Urbana",-0.52,0.42,0.97,12586
"estados","Distrito Federal","06 - 11m","Masculino","Rural",-0.59,0.01,0.47,156
"estados","Distrito Federal","06 - 11m","Masculino","Urbana",-0.42,-0.05,0.26,934
"estados","Espirito Santo","06 - 11m","Masculino","Rural",-0.16,0.32,0.55,1909
"estados","Espirito Santo","06 - 11m","Masculino","Urbana",-0.22,0.34,0.63,4647
"estados","Goias","06 - 11m","Masculino","Rural",-0.6,0.09,0.6,651
"estados","Goias","06 - 11m","Masculino","Urbana",-0.52,0.04,0.47,6158
"estados","Maranhao","06 - 11m","Masculino","Rural",-0.9,0.12,0.87,6395
"estados","Maranhao","06 - 11m","Masculino","Urbana",-0.75,0.19,0.85,9693
"estados","Mato Grosso","06 - 11m","Masculino","Rural",-0.6,0.01,0.49,655
"estados","Mato Grosso","06 - 11m","Masculino","Urbana",-0.47,0.05,0.45,3273
"estados","Mato Grosso do Sul","06 - 11m","Masculino","Rural",-0.62,-0.02,0.47,580
"estados","Mato Grosso do Sul","06 - 11m","Masculino","Urbana",-0.45,0.12,0.52,4965
"estados","Minas Gerais","06 - 11m","Masculino","Rural",-0.41,0.08,0.44,10582
"estados","Minas Gerais","06 - 11m","Masculino","Urbana",-0.44,0.06,0.43,33182
"estados","Para","06 - 11m","Masculino","Rural",-0.9,0.15,0.91,5349
"estados","Para","06 - 11m","Masculino","Urbana",-0.66,0.24,0.84,8828
"estados","Paraiba","06 - 11m","Masculino","Rural",-0.47,0.4,0.9,6502
"estados","Paraiba","06 - 11m","Masculino","Urbana",-0.45,0.36,0.84,10959
"estados","Parana","06 - 11m","Masculino","Rural",-0.42,0.13,0.51,5116
"estados","Parana","06 - 11m","Masculino","Urbana",-0.43,0.12,0.5,26780
"estados","Pernambuco","06 - 11m","Masculino","Rural",-0.6,0.25,0.82,7367
"estados","Pernambuco","06 - 11m","Masculino","Urbana",-0.48,0.32,0.82,11623
"estados","Piaui","06 - 11m","Masculino","Rural",-0.57,0.22,0.75,4075
"estados","Piaui","06 - 11m","Masculino","Urbana",-0.44,0.28,0.73,4478
"estados","Rio Grande do Norte","06 - 11m","Masculino","Rural",-0.38,0.43,0.88,2601
"estados","Rio Grande do Norte","06 - 11m","Masculino","Urbana",-0.41,0.37,0.82,4583
"estados","Rio Grande do Sul","06 - 11m","Masculino","Rural",-0.53,0.18,0.66,2268
"estados","Rio Grande do Sul","06 - 11m","Masculino","Urbana",-0.49,0.21,0.66,10554
"estados","Rio de Janeiro","06 - 11m","Masculino","Rural",-0.48,0.17,0.62,1122
"estados","Rio de Janeiro","06 - 11m","Masculino","Urbana",-0.55,0.11,0.59,8444
"estados","Rondonia","06 - 11m","Masculino","Rural",-0.4,0.16,0.54,729
"estados","Rondonia","06 - 11m","Masculino","Urbana",-0.52,0.21,0.7,1066
"estados","Roraima","06 - 11m","Masculino","Rural",-0.95,0.06,0.84,141
"estados","Roraima","06 - 11m","Masculino","Urbana",-0.75,0.09,0.72,512
"estados","Santa Catarina","06 - 11m","Masculino","Rural",-0.37,0.06,0.38,1674
"estados","Santa Catarina","06 - 11m","Masculino","Urbana",-0.48,0.02,0.41,5924
"estados","Sao Paulo","06 - 11m","Masculino","Rural",-0.51,0.08,0.51,2702
"estados","Sao Paulo","06 - 11m","Masculino","Urbana",-0.47,0.08,0.49,26780
"estados","Sergipe","06 - 11m","Masculino","Rural",-0.59,0.45,1.07,2439
"estados","Sergipe","06 - 11m","Masculino","Urbana",-0.46,0.41,0.93,3039
"estados","Tocantins","06 - 11m","Masculino","Rural",-0.81,0.2,0.92,809
"estados","Tocantins","06 - 11m","Masculino","Urbana",-0.62,0.15,0.7,3037
"estados","Acre","12 - 17m","Feminino","Rural",-0.85,0.02,0.73,1442
"estados","Acre","12 - 17m","Feminino","Urbana",-0.58,0.23,0.8,1934
"estados","Alagoas","12 - 17m","Feminino","Rural",-0.5,0.41,0.99,5787
"estados","Alagoas","12 - 17m","Feminino","Urbana",-0.41,0.44,0.96,8083
"estados","Amapa","12 - 17m","Feminino","Rural",-0.95,0.05,0.87,238
"estados","Amapa","12 - 17m","Feminino","Urbana",-0.92,0.13,0.94,1036
"estados","Amazonas","12 - 17m","Feminino","Rural",-1.03,-0.11,0.71,3606
"estados","Amazonas","12 - 17m","Feminino","Urbana",-0.7,0.16,0.8,10777
"estados","Bahia","12 - 17m","Feminino","Rural",-0.38,0.26,0.69,27180
"estados","Bahia","12 - 17m","Feminino","Urbana",-0.32,0.31,0.71,36082
"estados","Ceara","12 - 17m","Feminino","Rural",-0.46,0.45,1.01,18398
"estados","Ceara","12 - 17m","Feminino","Urbana",-0.42,0.49,1.04,22431
"estados","Distrito Federal","12 - 17m","Feminino","Rural",-0.41,0.04,0.38,270
"estados","Distrito Federal","12 - 17m","Feminino","Urbana",-0.5,0.07,0.52,1536
"estados","Espirito Santo","12 - 17m","Feminino","Rural",-0.1,0.43,0.69,2619
"estados","Espirito Santo","12 - 17m","Feminino","Urbana",-0.19,0.4,0.72,7141
"estados","Goias","12 - 17m","Feminino","Rural",-0.35,0.21,0.59,1182
"estados","Goias","12 - 17m","Feminino","Urbana",-0.4,0.18,0.59,11168
"estados","Maranhao","12 - 17m","Feminino","Rural",-0.83,0.13,0.87,12176
"estados","Maranhao","12 - 17m","Feminino","Urbana",-0.67,0.19,0.82,18485
"estados","Mato Grosso","12 - 17m","Feminino","Rural",-0.49,0.07,0.52,1161
"estados","Mato Grosso","12 - 17m","Feminino","Urbana",-0.41,0.18,0.59,5779
"estados","Mato Grosso do Sul","12 - 17m","Feminino","Rural",-0.65,0.07,0.65,1022
"estados","Mato Grosso do Sul","12 - 17m","Feminino","Urbana",-0.45,0.19,0.64,6416
"estados","Minas Gerais","12 - 17m","Feminino","Rural",-0.31,0.24,0.6,14944
"estados","Minas Gerais","12 - 17m","Feminino","Urbana",-0.33,0.25,0.62,46632
"estados","Para","12 - 17m","Feminino","Rural",-0.93,0.05,0.84,10719
"estados","Para","12 - 17m","Feminino","Urbana",-0.67,0.21,0.86,17060
"estados","Paraiba","12 - 17m","Feminino","Rural",-0.34,0.48,0.95,9024
"estados","Paraiba","12 - 17m","Feminino","Urbana",-0.29,0.45,0.87,16394
"estados","Parana","12 - 17m","Feminino","Rural",-0.32,0.31,0.7,6910
"estados","Parana","12 - 17m","Feminino","Urbana",-0.31,0.33,0.71,34048
"estados","Pernambuco","12 - 17m","Feminino","Rural",-0.46,0.4,0.95,11366
"estados","Pernambuco","12 - 17m","Feminino","Urbana",-0.29,0.44,0.87,19501
"estados","Piaui","12 - 17m","Feminino","Rural",-0.56,0.22,0.78,6971
"estados","Piaui","12 - 17m","Feminino","Urbana",-0.42,0.28,0.74,8607
"estados","Rio Grande do Norte","12 - 17m","Feminino","Rural",-0.36,0.47,0.95,4307
"estados","Rio Grande do Norte","12 - 17m","Feminino","Urbana",-0.36,0.44,0.92,7911
"estados","Rio Grande do Sul","12 - 17m","Feminino","Rural",-0.39,0.39,0.87,3644
"estados","Rio Grande do Sul","12 - 17m","Feminino","Urbana",-0.42,0.38,0.88,16084
"estados","Rio de Janeiro","12 - 17m","Feminino","Rural",-0.3,0.32,0.71,1962
"estados","Rio de Janeiro","12 - 17m","Feminino","Urbana",-0.44,0.26,0.73,16825
"estados","Rondonia","12 - 17m","Feminino","Rural",-0.36,0.31,0.74,1300
"estados","Rondonia","12 - 17m","Feminino","Urbana",-0.44,0.19,0.64,1973
"estados","Roraima","12 - 17m","Feminino","Rural",-0.95,-0.04,0.74,356
"estados","Roraima","12 - 17m","Feminino","Urbana",-0.55,0.23,0.77,1160
"estados","Santa Catarina","12 - 17m","Feminino","Rural",-0.33,0.27,0.66,2142
"estados","Santa Catarina","12 - 17m","Feminino","Urbana",-0.4,0.23,0.66,6989
"estados","Sao Paulo","12 - 17m","Feminino","Rural",-0.39,0.27,0.69,4141
"estados","Sao Paulo","12 - 17m","Feminino","Urbana",-0.44,0.25,0.71,43777
"estados","Sergipe","12 - 17m","Feminino","Rural",-0.37,0.47,0.97,3928
"estados","Sergipe","12 - 17m","Feminino","Urbana",-0.27,0.55,1,5537
"estados","Tocantins","12 - 17m","Feminino","Rural",-0.69,0.11,0.72,1459
"estados","Tocantins","12 - 17m","Feminino","Urbana",-0.53,0.17,0.68,5098
"estados","Acre","12 - 17m","Masculino","Rural",-1.05,-0.03,0.82,1448
"estados","Acre","12 - 17m","Masculino","Urbana",-0.8,0.13,0.83,1829
"estados","Alagoas","12 - 17m","Masculino","Rural",-0.76,0.29,1.02,5806
"estados","Alagoas","12 - 17m","Masculino","Urbana",-0.67,0.29,0.95,7540
"estados","Amapa","12 - 17m","Masculino","Rural",-1.36,-0.05,1.06,218
"estados","Amapa","12 - 17m","Masculino","Urbana",-1.15,0.02,0.97,1026
"estados","Amazonas","12 - 17m","Masculino","Rural",-1.32,-0.29,0.69,3713
"estados","Amazonas","12 - 17m","Masculino","Urbana",-0.95,0.05,0.84,10260
"estados","Bahia","12 - 17m","Masculino","Rural",-0.58,0.11,0.63,26589
"estados","Bahia","12 - 17m","Masculino","Urbana",-0.51,0.19,0.68,34114
"estados","Ceara","12 - 17m","Masculino","Rural",-0.7,0.35,1.05,18074
"estados","Ceara","12 - 17m","Masculino","Urbana",-0.61,0.4,1.05,21762
"estados","Distrito Federal","12 - 17m","Masculino","Rural",-0.71,-0.05,0.51,281
"estados","Distrito Federal","12 - 17m","Masculino","Urbana",-0.63,-0.04,0.46,1547
"estados","Espirito Santo","12 - 17m","Masculino","Rural",-0.29,0.35,0.72,2700
"estados","Espirito Santo","12 - 17m","Masculino","Urbana",-0.37,0.31,0.74,6726
"estados","Goias","12 - 17m","Masculino","Rural",-0.63,0.09,0.64,1151
"estados","Goias","12 - 17m","Masculino","Urbana",-0.61,0.08,0.61,10710
"estados","Maranhao","12 - 17m","Masculino","Rural",-1.1,-0.06,0.83,12650
"estados","Maranhao","12 - 17m","Masculino","Urbana",-0.91,0.03,0.79,17685
"estados","Mato Grosso","12 - 17m","Masculino","Rural",-0.68,-0.04,0.51,1152
"estados","Mato Grosso","12 - 17m","Masculino","Urbana",-0.59,0.07,0.58,5676
"estados","Mato Grosso do Sul","12 - 17m","Masculino","Rural",-0.91,-0.1,0.61,1048
"estados","Mato Grosso do Sul","12 - 17m","Masculino","Urbana",-0.61,0.11,0.65,6300
"estados","Minas Gerais","12 - 17m","Masculino","Rural",-0.49,0.14,0.6,15280
"estados","Minas Gerais","12 - 17m","Masculino","Urbana",-0.48,0.16,0.61,46831
"estados","Para","12 - 17m","Masculino","Rural",-1.15,-0.08,0.83,10975
"estados","Para","12 - 17m","Masculino","Urbana",-0.94,0.05,0.84,16294
"estados","Paraiba","12 - 17m","Masculino","Rural",-0.5,0.39,0.93,9077
"estados","Paraiba","12 - 17m","Masculino","Urbana",-0.47,0.39,0.91,15850
"estados","Parana","12 - 17m","Masculino","Rural",-0.45,0.24,0.7,7110
"estados","Parana","12 - 17m","Masculino","Urbana",-0.46,0.27,0.74,35221
"estados","Pernambuco","12 - 17m","Masculino","Rural",-0.67,0.28,0.92,11423
"estados","Pernambuco","12 - 17m","Masculino","Urbana",-0.49,0.35,0.88,18559
"estados","Piaui","12 - 17m","Masculino","Rural",-0.74,0.1,0.74,7022
"estados","Piaui","12 - 17m","Masculino","Urbana",-0.58,0.18,0.72,8015
"estados","Rio Grande do Norte","12 - 17m","Masculino","Rural",-0.57,0.36,0.96,4088
"estados","Rio Grande do Norte","12 - 17m","Masculino","Urbana",-0.57,0.36,0.96,7443
"estados","Rio Grande do Sul","12 - 17m","Masculino","Rural",-0.53,0.3,0.83,3484
"estados","Rio Grande do Sul","12 - 17m","Masculino","Urbana",-0.58,0.31,0.9,15143
"estados","Rio de Janeiro","12 - 17m","Masculino","Rural",-0.59,0.22,0.79,1943
"estados","Rio de Janeiro","12 - 17m","Masculino","Urbana",-0.68,0.15,0.77,16183
"estados","Rondonia","12 - 17m","Masculino","Rural",-0.48,0.15,0.6,1232
"estados","Rondonia","12 - 17m","Masculino","Urbana",-0.56,0.18,0.7,1947
"estados","Roraima","12 - 17m","Masculino","Rural",-1.01,-0.23,0.52,338
"estados","Roraima","12 - 17m","Masculino","Urbana",-0.88,-0.01,0.7,1023
"estados","Santa Catarina","12 - 17m","Masculino","Rural",-0.54,0.18,0.69,2079
"estados","Santa Catarina","12 - 17m","Masculino","Urbana",-0.58,0.16,0.69,6944
"estados","Sao Paulo","12 - 17m","Masculino","Rural",-0.59,0.16,0.7,4087
"estados","Sao Paulo","12 - 17m","Masculino","Urbana",-0.6,0.17,0.72,42251
"estados","Sergipe","12 - 17m","Masculino","Rural",-0.57,0.35,0.94,3887
"estados","Sergipe","12 - 17m","Masculino","Urbana",-0.48,0.4,0.95,5034
"estados","Tocantins","12 - 17m","Masculino","Rural",-0.94,-0.05,0.71,1439
"estados","Tocantins","12 - 17m","Masculino","Urbana",-0.78,0.06,0.71,4878
"estados","Acre","18 - 23m","Feminino","Rural",-0.99,-0.1,0.72,1874
"estados","Acre","18 - 23m","Feminino","Urbana",-0.62,0.1,0.68,2526
"estados","Alagoas","18 - 23m","Feminino","Rural",-0.5,0.29,0.84,7776
"estados","Alagoas","18 - 23m","Feminino","Urbana",-0.38,0.34,0.82,11062
"estados","Amapa","18 - 23m","Feminino","Rural",-1.07,-0.12,0.76,390
"estados","Amapa","18 - 23m","Feminino","Urbana",-1.05,0,0.9,1589
"estados","Amazonas","18 - 23m","Feminino","Rural",-1.18,-0.28,0.63,5377
"estados","Amazonas","18 - 23m","Feminino","Urbana",-0.81,0,0.71,15488
"estados","Bahia","18 - 23m","Feminino","Rural",-0.34,0.17,0.54,34868
"estados","Bahia","18 - 23m","Feminino","Urbana",-0.3,0.24,0.6,46590
"estados","Ceara","18 - 23m","Feminino","Rural",-0.42,0.36,0.88,24052
"estados","Ceara","18 - 23m","Feminino","Urbana",-0.38,0.42,0.92,30307
"estados","Distrito Federal","18 - 23m","Feminino","Rural",-0.54,0.04,0.52,393
"estados","Distrito Federal","18 - 23m","Feminino","Urbana",-0.52,0.05,0.52,2115
"estados","Espirito Santo","18 - 23m","Feminino","Rural",-0.11,0.36,0.61,3307
"estados","Espirito Santo","18 - 23m","Feminino","Urbana",-0.2,0.34,0.67,9004
"estados","Goias","18 - 23m","Feminino","Rural",-0.33,0.18,0.54,1659
"estados","Goias","18 - 23m","Feminino","Urbana",-0.38,0.17,0.58,14599
"estados","Maranhao","18 - 23m","Feminino","Rural",-0.88,-0.06,0.67,17571
"estados","Maranhao","18 - 23m","Feminino","Urbana",-0.7,0.03,0.65,25263
"estados","Mato Grosso","18 - 23m","Feminino","Rural",-0.55,0.06,0.56,1627
"estados","Mato Grosso","18 - 23m","Feminino","Urbana",-0.43,0.16,0.6,7888
"estados","Mato Grosso do Sul","18 - 23m","Feminino","Rural",-0.74,-0.02,0.62,1401
"estados","Mato Grosso do Sul","18 - 23m","Feminino","Urbana",-0.43,0.21,0.67,7669
"estados","Minas Gerais","18 - 23m","Feminino","Rural",-0.26,0.23,0.55,18939
"estados","Minas Gerais","18 - 23m","Feminino","Urbana",-0.25,0.27,0.61,58284
"estados","Para","18 - 23m","Feminino","Rural",-1.04,-0.16,0.67,15819
"estados","Para","18 - 23m","Feminino","Urbana",-0.75,0.05,0.72,24281
"estados","Paraiba","18 - 23m","Feminino","Rural",-0.26,0.4,0.79,11323
"estados","Paraiba","18 - 23m","Feminino","Urbana",-0.25,0.4,0.79,20475
"estados","Parana","18 - 23m","Feminino","Rural",-0.29,0.31,0.69,8265
"estados","Parana","18 - 23m","Feminino","Urbana",-0.26,0.36,0.73,39245
"estados","Pernambuco","18 - 23m","Feminino","Rural",-0.4,0.34,0.82,14943
"estados","Pernambuco","18 - 23m","Feminino","Urbana",-0.27,0.41,0.82,26032
"estados","Piaui","18 - 23m","Feminino","Rural",-0.54,0.1,0.61,9125
"estados","Piaui","18 - 23m","Feminino","Urbana",-0.41,0.16,0.59,11514
"estados","Rio Grande do Norte","18 - 23m","Feminino","Rural",-0.35,0.35,0.81,5595
"estados","Rio Grande do Norte","18 - 23m","Feminino","Urbana",-0.36,0.34,0.79,10416
"estados","Rio Grande do Sul","18 - 23m","Feminino","Rural",-0.36,0.38,0.86,4635
"estados","Rio Grande do Sul","18 - 23m","Feminino","Urbana",-0.43,0.37,0.89,20038
"estados","Rio de Janeiro","18 - 23m","Feminino","Rural",-0.28,0.32,0.7,2645
"estados","Rio de Janeiro","18 - 23m","Feminino","Urbana",-0.5,0.2,0.72,23475
"estados","Rondonia","18 - 23m","Feminino","Rural",-0.33,0.19,0.56,1806
"estados","Rondonia","18 - 23m","Feminino","Urbana",-0.45,0.16,0.61,2729
"estados","Roraima","18 - 23m","Feminino","Rural",-1.07,-0.18,0.67,589
"estados","Roraima","18 - 23m","Feminino","Urbana",-0.71,0.05,0.68,1614
"estados","Santa Catarina","18 - 23m","Feminino","Rural",-0.32,0.3,0.71,2422
"estados","Santa Catarina","18 - 23m","Feminino","Urbana",-0.39,0.25,0.7,8011
"estados","Sao Paulo","18 - 23m","Feminino","Rural",-0.38,0.25,0.68,5505
"estados","Sao Paulo","18 - 23m","Feminino","Urbana",-0.46,0.24,0.74,58370
"estados","Sergipe","18 - 23m","Feminino","Rural",-0.32,0.39,0.83,5394
