"tabela","categoria","idade_cat","sexo","med_altura","med_peso","med_imc","n_dist"
"regiao","nordeste","3a","Feminino",-0.2,0.01,0.2,699864
"regiao","norte","3a","Feminino",-0.69,-0.36,0.1,204488
"regiao","sudeste","3a","Feminino",-0.1,0.15,0.32,390908
"regiao","sul","3a","Feminino",-0.12,0.24,0.47,142324
"regiao","centro_oeste","3a","Masculino",-0.13,0.13,0.31,84695
"regiao","nordeste","3a","Masculino",-0.2,0.07,0.3,687267
"regiao","norte","3a","Masculino",-0.71,-0.29,0.25,202432
"regiao","sudeste","3a","Masculino",-0.1,0.21,0.4,382679
"regiao","sul","3a","Masculino",-0.1,0.31,0.56,140767
"regiao","centro_oeste","4a","Feminino",-0.08,0.03,0.12,86056
"regiao","nordeste","4a","Feminino",-0.18,-0.07,0.07,718373
"regiao","norte","4a","Feminino",-0.66,-0.44,-0.04,211276
"regiao","sudeste","4a","Feminino",-0.05,0.12,0.24,397782
"regiao","sul","4a","Feminino",-0.09,0.21,0.4,141606
"regiao","centro_oeste","4a","Masculino",-0.05,0.14,0.27,84128
"regiao","nordeste","4a","Masculino",-0.15,0.05,0.23,691560
"regiao","norte","4a","Masculino",-0.64,-0.31,0.16,205239
"regiao","sudeste","4a","Masculino",-0.01,0.23,0.38,385457
"regiao","sul","4a","Masculino",-0.04,0.33,0.55,138650
"regiao","centro_oeste","5a","Feminino",0.01,0.07,0.08,80098
"regiao","nordeste","5a","Feminino",-0.12,-0.04,0.04,676009
"regiao","norte","5a","Feminino",-0.57,-0.41,-0.09,197532
"regiao","sudeste","5a","Feminino",0.03,0.18,0.22,369375
"regiao","sul","5a","Feminino",0,0.25,0.36,133317
"regiao","centro_oeste","5a","Masculino",-0.01,0.17,0.23,78085
"regiao","nordeste","5a","Masculino",-0.15,0.05,0.18,644888
"regiao","norte","5a","Masculino",-0.62,-0.32,0.09,188974
"regiao","sudeste","5a","Masculino",0.02,0.26,0.34,352551
"regiao","sul","5a","Masculino",-0.02,0.35,0.52,129331
"regiao","centro_oeste","6a","Feminino",0.09,0.16,0.11,66671
"regiao","nordeste","6a","Feminino",-0.07,0.03,0.05,570597
"regiao","norte","6a","Feminino",-0.48,-0.32,-0.07,165628
"regiao","sudeste","6a","Feminino",0.11,0.26,0.24,305884
"regiao","sul","6a","Feminino",0.07,0.31,0.35,114229
"regiao","centro_oeste","6a","Masculino",0.04,0.19,0.21,63762
"regiao","nordeste","6a","Masculino",-0.14,0.03,0.14,534901
"regiao","norte","6a","Masculino",-0.58,-0.33,0.04,152813
"regiao","sudeste","6a","Masculino",0.05,0.26,0.3,287693
"regiao","sul","6a","Masculino",0.01,0.34,0.47,110343
"regiao","centro_oeste","7a","Feminino",0.19,0.29,0.21,35161
"regiao","nordeste","7a","Feminino",0.03,0.14,0.12,272898
"regiao","norte","7a","Feminino",-0.36,-0.2,-0.02,87363
"regiao","sudeste","7a","Feminino",0.2,0.35,0.28,149299
"regiao","sul","7a","Feminino",0.13,0.39,0.4,58623
"regiao","centro_oeste","7a","Masculino",0.12,0.25,0.21,22530
"regiao","nordeste","7a","Masculino",-0.08,0.07,0.13,170733
"regiao","norte","7a","Masculino",-0.47,-0.26,0.03,49671
"regiao","sudeste","7a","Masculino",0.13,0.3,0.29,102326
"regiao","sul","7a","Masculino",0.06,0.38,0.46,46748
"regiao","centro_oeste","8a","Feminino",0.2,0.34,0.28,25828
"regiao","nordeste","8a","Feminino",0.02,0.17,0.18,189101
"regiao","norte","8a","Feminino",-0.35,-0.16,0.02,65133
"regiao","sudeste","8a","Feminino",0.19,0.37,0.33,103120
"regiao","sul","8a","Feminino",0.12,0.43,0.46,39837
"regiao","centro_oeste","8a","Masculino",0.17,0.36,0.31,6766
"regiao","nordeste","8a","Masculino",-0.07,0.1,0.15,34071
"regiao","norte","8a","Masculino",-0.36,-0.16,0.04,10939
"regiao","sudeste","8a","Masculino",0.16,0.36,0.33,37174
"regiao","sul","8a","Masculino",0.07,0.44,0.53,22764
"regiao","centro_oeste","9a","Feminino",0.13,0.31,0.29,23441
"regiao","nordeste","9a","Feminino",-0.07,0.11,0.17,179404
"regiao","norte","9a","Feminino",-0.4,-0.19,0.02,60148
"regiao","sudeste","9a","Feminino",0.13,0.34,0.33,93525
"regiao","sul","9a","Feminino",0.06,0.41,0.46,35256
"regiao","centro_oeste","9a","Masculino",0.16,0.37,0.35,5449
"regiao","nordeste","9a","Masculino",-0.11,0.12,0.21,27506
"regiao","norte","9a","Masculino",-0.39,-0.14,0.09,9216
"regiao","sudeste","9a","Masculino",0.15,0.38,0.38,30392
"regiao","sul","9a","Masculino",0.07,0.49,0.6,18612
"estados","Acre","0 - 5m","Feminino",-0.47,0.04,0.44,315
"estados","Alagoas","0 - 5m","Feminino",-0.44,0.1,0.51,1949
"estados","Amapa","0 - 5m","Feminino",0.05,0.14,0.17,54
"estados","Amazonas","0 - 5m","Feminino",-0.25,0.17,0.45,963
"estados","Bahia","0 - 5m","Feminino",-0.11,0.05,0.17,8043
"estados","Ceara","0 - 5m","Feminino",-0.36,0.19,0.55,3593
"estados","Distrito Federal","0 - 5m","Feminino",-0.36,-0.29,-0.12,442
"estados","Espirito Santo","0 - 5m","Feminino",-0.4,-0.12,0.15,2869
"estados","Goias","0 - 5m","Feminino",-0.38,-0.17,0.1,1272
"estados","Maranhao","0 - 5m","Feminino",-0.3,0.21,0.55,1797
"estados","Mato Grosso","0 - 5m","Feminino",-0.31,-0.1,0.13,832
"estados","Mato Grosso do Sul","0 - 5m","Feminino",-0.58,-0.22,0.16,3964
"estados","Minas Gerais","0 - 5m","Feminino",-0.68,-0.39,0,21132
"estados","Para","0 - 5m","Feminino",-0.36,0.03,0.34,2796
"estados","Paraiba","0 - 5m","Feminino",-0.46,0.09,0.5,6462
"estados","Parana","0 - 5m","Feminino",-0.75,-0.41,0,14849
"estados","Pernambuco","0 - 5m","Feminino",-0.45,0.03,0.4,4789
"estados","Piaui","0 - 5m","Feminino",-0.08,0.19,0.34,1427
"estados","Rio Grande do Norte","0 - 5m","Feminino",-0.31,0.11,0.41,2164
"estados","Rio Grande do Sul","0 - 5m","Feminino",-0.88,-0.42,0.1,6807
"estados","Rio de Janeiro","0 - 5m","Feminino",-0.72,-0.3,0.15,2653
"estados","Rondonia","0 - 5m","Feminino",-0.45,0.04,0.43,327
"estados","Roraima","0 - 5m","Feminino",-0.45,0.42,0.94,60
"estados","Santa Catarina","0 - 5m","Feminino",-0.78,-0.44,-0.01,6463
"estados","Sao Paulo","0 - 5m","Feminino",-0.73,-0.38,0.03,13740
"estados","Sergipe","0 - 5m","Feminino",-0.34,0.34,0.76,988
"estados","Tocantins","0 - 5m","Feminino",-0.4,0.08,0.45,854
"estados","Acre","0 - 5m","Masculino",-0.55,0.05,0.49,326
"estados","Alagoas","0 - 5m","Masculino",-0.75,-0.09,0.48,2046
"estados","Amapa","0 - 5m","Masculino",-0.55,-0.1,0.3,54
"estados","Amazonas","0 - 5m","Masculino",-0.38,0.13,0.49,990
"estados","Bahia","0 - 5m","Masculino",-0.3,-0.02,0.22,7920
"estados","Ceara","0 - 5m","Masculino",-0.54,0.13,0.61,3505
"estados","Distrito Federal","0 - 5m","Masculino",-0.41,-0.17,0.07,518
"estados","Espirito Santo","0 - 5m","Masculino",-0.53,-0.16,0.19,2938
"estados","Goias","0 - 5m","Masculino",-0.51,-0.2,0.14,1258
"estados","Maranhao","0 - 5m","Masculino",-0.46,0.1,0.52,1887
"estados","Mato Grosso","0 - 5m","Masculino",-0.6,-0.15,0.26,914
"estados","Mato Grosso do Sul","0 - 5m","Masculino",-0.74,-0.25,0.24,4013
"estados","Minas Gerais","0 - 5m","Masculino",-0.83,-0.45,0.01,21849
"estados","Para","0 - 5m","Masculino",-0.5,0.03,0.45,2864
"estados","Paraiba","0 - 5m","Masculino",-0.61,0.04,0.55,6600
"estados","Parana","0 - 5m","Masculino",-0.86,-0.47,0,15732
"estados","Pernambuco","0 - 5m","Masculino",-0.7,-0.08,0.45,4973
"estados","Piaui","0 - 5m","Masculino",-0.39,0.13,0.49,1400
"estados","Rio Grande do Norte","0 - 5m","Masculino",-0.48,0.09,0.51,2122
"estados","Rio Grande do Sul","0 - 5m","Masculino",-0.98,-0.46,0.11,6772
"estados","Rio de Janeiro","0 - 5m","Masculino",-0.85,-0.33,0.2,2794
"estados","Rondonia","0 - 5m","Masculino",-0.46,0.15,0.59,328
"estados","Roraima","0 - 5m","Masculino",-1.05,0.04,0.93,65
"estados","Santa Catarina","0 - 5m","Masculino",-0.87,-0.48,0.01,6648
"estados","Sao Paulo","0 - 5m","Masculino",-0.85,-0.41,0.08,14066
"estados","Sergipe","0 - 5m","Masculino",-0.61,0.2,0.77,1013
"estados","Tocantins","0 - 5m","Masculino",-0.62,-0.01,0.49,943
"estados","Acre","06 - 11m","Feminino",-0.56,0.24,0.79,1795
"estados","Alagoas","06 - 11m","Feminino",-0.38,0.41,0.88,8151
"estados","Amapa","06 - 11m","Feminino",-0.61,0.31,0.92,596
"estados","Amazonas","06 - 11m","Feminino",-0.49,0.22,0.7,7265
"estados","Bahia","06 - 11m","Feminino",-0.22,0.29,0.58,39039
"estados","Ceara","06 - 11m","Feminino",-0.33,0.47,0.93,24137
"estados","Distrito Federal","06 - 11m","Feminino",-0.34,0.01,0.28,1071
"estados","Espirito Santo","06 - 11m","Feminino",-0.04,0.36,0.53,6624
"estados","Goias","06 - 11m","Feminino",-0.32,0.13,0.44,7109
"estados","Maranhao","06 - 11m","Feminino",-0.54,0.3,0.85,16275
"estados","Mato Grosso","06 - 11m","Feminino",-0.36,0.12,0.47,4063
"estados","Mato Grosso do Sul","06 - 11m","Feminino",-0.25,0.19,0.46,5676
"estados","Minas Gerais","06 - 11m","Feminino",-0.28,0.12,0.39,43408
"estados","Para","06 - 11m","Feminino",-0.49,0.3,0.82,14282
"estados","Paraiba","06 - 11m","Feminino",-0.27,0.43,0.82,17656
"estados","Parana","06 - 11m","Feminino",-0.27,0.17,0.44,30527
"estados","Pernambuco","06 - 11m","Feminino",-0.31,0.38,0.78,19432
"estados","Piaui","06 - 11m","Feminino",-0.34,0.33,0.73,8830
"estados","Rio Grande do Norte","06 - 11m","Feminino",-0.25,0.46,0.84,7473
"estados","Rio Grande do Sul","06 - 11m","Feminino",-0.36,0.24,0.61,13281
"estados","Rio de Janeiro","06 - 11m","Feminino",-0.33,0.2,0.55,9864
"estados","Rondonia","06 - 11m","Feminino",-0.38,0.24,0.63,1838
"estados","Roraima","06 - 11m","Feminino",-0.46,0.23,0.69,665
"estados","Santa Catarina","06 - 11m","Feminino",-0.31,0.09,0.37,7587
