"tabela","categoria","idade_cat","sexo","med_altura","med_peso","med_imc","n_dist"
"estados","Maranhao","2a","Feminino",-0.61,-0.23,0.2,87361
"estados","Mato Grosso","2a","Feminino",-0.25,0.1,0.35,18982
"estados","Mato Grosso do Sul","2a","Feminino",-0.32,0.11,0.43,17532
"estados","Minas Gerais","2a","Feminino",-0.05,0.2,0.32,138780
"estados","Para","2a","Feminino",-0.75,-0.27,0.28,83522
"estados","Paraiba","2a","Feminino",-0.07,0.29,0.46,53744
"estados","Parana","2a","Feminino",-0.07,0.31,0.49,75266
"estados","Pernambuco","2a","Feminino",-0.1,0.29,0.5,78397
"estados","Piaui","2a","Feminino",-0.33,-0.05,0.2,39700
"estados","Rio Grande do Norte","2a","Feminino",-0.23,0.21,0.49,30228
"estados","Rio Grande do Sul","2a","Feminino",-0.24,0.33,0.66,46827
"estados","Rio de Janeiro","2a","Feminino",-0.33,0.13,0.47,55930
"estados","Rondonia","2a","Feminino",-0.15,0.1,0.25,9044
"estados","Roraima","2a","Feminino",-0.74,-0.21,0.34,5103
"estados","Santa Catarina","2a","Feminino",-0.21,0.19,0.45,18461
"estados","Sao Paulo","2a","Feminino",-0.24,0.23,0.53,125170
"estados","Sergipe","2a","Feminino",-0.05,0.26,0.4,24775
"estados","Tocantins","2a","Feminino",-0.37,-0.07,0.21,16346
"estados","Acre","2a","Masculino",-0.8,-0.17,0.47,8888
"estados","Alagoas","2a","Masculino",-0.32,0.16,0.5,34797
"estados","Amapa","2a","Masculino",-1.07,-0.36,0.46,4430
"estados","Amazonas","2a","Masculino",-0.9,-0.3,0.38,42936
"estados","Bahia","2a","Masculino",-0.24,0.04,0.25,150542
"estados","Ceara","2a","Masculino",-0.33,0.22,0.61,102074
"estados","Distrito Federal","2a","Masculino",-0.39,-0.05,0.26,5517
"estados","Espirito Santo","2a","Masculino",-0.11,0.21,0.38,22260
"estados","Goias","2a","Masculino",-0.23,0.08,0.31,31965
"estados","Maranhao","2a","Masculino",-0.74,-0.3,0.24,86559
"estados","Mato Grosso","2a","Masculino",-0.34,0.07,0.39,18520
"estados","Mato Grosso do Sul","2a","Masculino",-0.39,0.08,0.46,17266
"estados","Minas Gerais","2a","Masculino",-0.14,0.16,0.34,138705
"estados","Para","2a","Masculino",-0.86,-0.31,0.33,83056
"estados","Paraiba","2a","Masculino",-0.15,0.27,0.51,53164
"estados","Parana","2a","Masculino",-0.13,0.29,0.52,77422
"estados","Pernambuco","2a","Masculino",-0.21,0.23,0.51,77063
"estados","Piaui","2a","Masculino",-0.42,-0.08,0.24,38648
"estados","Rio Grande do Norte","2a","Masculino",-0.31,0.2,0.56,29036
"estados","Rio Grande do Sul","2a","Masculino",-0.29,0.31,0.7,44753
"estados","Rio de Janeiro","2a","Masculino",-0.44,0.09,0.51,52802
"estados","Rondonia","2a","Masculino",-0.25,0.09,0.33,8817
"estados","Roraima","2a","Masculino",-0.89,-0.29,0.39,4937
"estados","Santa Catarina","2a","Masculino",-0.3,0.16,0.49,18406
"estados","Sao Paulo","2a","Masculino",-0.33,0.18,0.55,120196
"estados","Sergipe","2a","Masculino",-0.15,0.22,0.44,23812
"estados","Tocantins","2a","Masculino",-0.48,-0.11,0.26,15925
"estados","Acre","3a","Feminino",-0.64,-0.29,0.16,10103
"estados","Alagoas","3a","Feminino",-0.19,0.07,0.28,41106
"estados","Amapa","3a","Feminino",-0.97,-0.47,0.21,5665
"estados","Amazonas","3a","Feminino",-0.84,-0.42,0.16,52474
"estados","Bahia","3a","Feminino",-0.08,0,0.06,175477
"estados","Ceara","3a","Feminino",-0.21,0.14,0.41,119286
"estados","Distrito Federal","3a","Feminino",-0.24,-0.07,0.11,6354
"estados","Espirito Santo","3a","Feminino",-0.01,0.14,0.21,25502
"estados","Goias","3a","Feminino",-0.04,0.07,0.14,37593
"estados","Maranhao","3a","Feminino",-0.58,-0.38,-0.03,104684
"estados","Mato Grosso","3a","Feminino",-0.15,0.07,0.25,22030
"estados","Mato Grosso do Sul","3a","Feminino",-0.26,0.07,0.34,19454
"estados","Minas Gerais","3a","Feminino",0.01,0.14,0.2,154221
"estados","Para","3a","Feminino",-0.74,-0.41,0.07,100239
"estados","Paraiba","3a","Feminino",-0.05,0.18,0.32,59177
"estados","Parana","3a","Feminino",-0.04,0.23,0.38,67781
"estados","Pernambuco","3a","Feminino",-0.05,0.19,0.33,90672
"estados","Piaui","3a","Feminino",-0.3,-0.17,0.02,45471
"estados","Rio Grande do Norte","3a","Feminino",-0.22,0.12,0.38,35122
"estados","Rio Grande do Sul","3a","Feminino",-0.19,0.29,0.6,54008
"estados","Rio de Janeiro","3a","Feminino",-0.26,0.07,0.35,66807
"estados","Rondonia","3a","Feminino",-0.11,0.01,0.11,10951
"estados","Roraima","3a","Feminino",-0.73,-0.34,0.18,6331
"estados","Santa Catarina","3a","Feminino",-0.21,0.13,0.39,20535
"estados","Sao Paulo","3a","Feminino",-0.15,0.21,0.45,144378
"estados","Sergipe","3a","Feminino",-0.01,0.12,0.18,28869
"estados","Tocantins","3a","Feminino",-0.3,-0.17,0.02,18725
"estados","Acre","3a","Masculino",-0.68,-0.21,0.34,10302
"estados","Alagoas","3a","Masculino",-0.18,0.15,0.4,40163
"estados","Amapa","3a","Masculino",-0.98,-0.4,0.36,5837
"estados","Amazonas","3a","Masculino",-0.83,-0.33,0.32,51815
"estados","Bahia","3a","Masculino",-0.1,0.04,0.15,171615
"estados","Ceara","3a","Masculino",-0.2,0.22,0.52,117237
"estados","Distrito Federal","3a","Masculino",-0.25,0,0.24,6524
"estados","Espirito Santo","3a","Masculino",-0.01,0.21,0.31,25324
"estados","Goias","3a","Masculino",-0.03,0.14,0.23,37295
"estados","Maranhao","3a","Masculino",-0.62,-0.33,0.1,104003
"estados","Mato Grosso","3a","Masculino",-0.16,0.13,0.35,21635
"estados","Mato Grosso do Sul","3a","Masculino",-0.26,0.15,0.46,19241
"estados","Minas Gerais","3a","Masculino",-0.01,0.19,0.28,154728
"estados","Para","3a","Masculino",-0.77,-0.35,0.22,99589
"estados","Paraiba","3a","Masculino",-0.03,0.26,0.41,59141
"estados","Parana","3a","Masculino",-0.03,0.3,0.48,68750
"estados","Pernambuco","3a","Masculino",-0.05,0.24,0.41,88436
"estados","Piaui","3a","Masculino",-0.3,-0.11,0.13,45311
"estados","Rio Grande do Norte","3a","Masculino",-0.21,0.19,0.49,33758
"estados","Rio Grande do Sul","3a","Masculino",-0.14,0.38,0.7,51724
"estados","Rio de Janeiro","3a","Masculino",-0.26,0.14,0.46,63551
"estados","Rondonia","3a","Masculino",-0.1,0.1,0.24,10500
"estados","Roraima","3a","Masculino",-0.8,-0.29,0.34,6216
"estados","Santa Catarina","3a","Masculino",-0.21,0.18,0.47,20293
"estados","Sao Paulo","3a","Masculino",-0.14,0.26,0.52,139076
"estados","Sergipe","3a","Masculino",-0.01,0.18,0.27,27603
"estados","Tocantins","3a","Masculino",-0.31,-0.1,0.15,18173
"estados","Acre","4a","Feminino",-0.65,-0.41,-0.01,10240
"estados","Alagoas","4a","Feminino",-0.16,-0.01,0.14,42034
"estados","Amapa","4a","Feminino",-0.91,-0.56,0,6087
"estados","Amazonas","4a","Feminino",-0.8,-0.5,0.01,53780
"estados","Bahia","4a","Feminino",-0.07,-0.08,-0.05,180929
"estados","Ceara","4a","Feminino",-0.19,0.08,0.3,121018
"estados","Distrito Federal","4a","Feminino",-0.13,-0.06,0.03,6294
"estados","Espirito Santo","4a","Feminino",0,0.08,0.13,25842
"estados","Goias","4a","Feminino",0.02,0.04,0.06,38068
"estados","Maranhao","4a","Feminino",-0.54,-0.45,-0.18,108220
"estados","Mato Grosso","4a","Feminino",-0.1,0.02,0.12,22251
"estados","Mato Grosso do Sul","4a","Feminino",-0.22,0.03,0.26,19443
"estados","Minas Gerais","4a","Feminino",0.02,0.08,0.11,156207
"estados","Para","4a","Feminino",-0.71,-0.49,-0.07,103832
"estados","Paraiba","4a","Feminino",-0.05,0.09,0.19,60255
"estados","Parana","4a","Feminino",-0.03,0.19,0.32,65169
"estados","Pernambuco","4a","Feminino",-0.04,0.11,0.2,92864
"estados","Piaui","4a","Feminino",-0.3,-0.25,-0.11,46764
"estados","Rio Grande do Norte","4a","Feminino",-0.22,0.07,0.32,36430
"estados","Rio Grande do Sul","4a","Feminino",-0.12,0.28,0.53,56089
"estados","Rio de Janeiro","4a","Feminino",-0.17,0.07,0.27,69516
"estados","Rondonia","4a","Feminino",-0.09,-0.06,0,11523
"estados","Roraima","4a","Feminino",-0.66,-0.38,0.04,6637
"estados","Santa Catarina","4a","Feminino",-0.2,0.08,0.31,20348
"estados","Sao Paulo","4a","Feminino",-0.08,0.2,0.37,146217
"estados","Sergipe","4a","Feminino",-0.01,0,0.02,29859
"estados","Tocantins","4a","Feminino",-0.25,-0.25,-0.13,19177
"estados","Acre","4a","Masculino",-0.62,-0.26,0.22,10218
"estados","Alagoas","4a","Masculino",-0.13,0.12,0.31,40694
"estados","Amapa","4a","Masculino",-0.86,-0.4,0.24,6062
"estados","Amazonas","4a","Masculino",-0.76,-0.35,0.22,52395
"estados","Bahia","4a","Masculino",-0.05,0.03,0.1,173229
"estados","Ceara","4a","Masculino",-0.14,0.21,0.47,116616
"estados","Distrito Federal","4a","Masculino",-0.11,0.04,0.17,6407
"estados","Espirito Santo","4a","Masculino",0.04,0.2,0.27,25602
"estados","Goias","4a","Masculino",0.05,0.16,0.2,37180
"estados","Maranhao","4a","Masculino",-0.54,-0.35,0,104887
"estados","Mato Grosso","4a","Masculino",-0.09,0.12,0.28,21705
"estados","Mato Grosso do Sul","4a","Masculino",-0.16,0.18,0.44,18836
"estados","Minas Gerais","4a","Masculino",0.06,0.2,0.26,155081
"estados","Para","4a","Masculino",-0.7,-0.37,0.13,101099
"estados","Paraiba","4a","Masculino",0.01,0.24,0.36,59585
"estados","Parana","4a","Masculino",0.01,0.31,0.47,65074
"estados","Pernambuco","4a","Masculino",0.01,0.23,0.36,88726
"estados","Piaui","4a","Masculino",-0.27,-0.13,0.06,46171
"estados","Rio Grande do Norte","4a","Masculino",-0.17,0.2,0.47,33818
"estados","Rio Grande do Sul","4a","Masculino",-0.06,0.42,0.7,53271
"estados","Rio de Janeiro","4a","Masculino",-0.15,0.19,0.44,64621
"estados","Rondonia","4a","Masculino",-0.02,0.11,0.2,10939
"estados","Roraima","4a","Masculino",-0.66,-0.29,0.22,6303
"estados","Santa Catarina","4a","Masculino",-0.16,0.19,0.45,20305
"estados","Sao Paulo","4a","Masculino",-0.04,0.3,0.5,140153
"estados","Sergipe","4a","Masculino",0.02,0.13,0.18,27834
"estados","Tocantins","4a","Masculino",-0.23,-0.12,0.05,18223
"estados","Acre","5a","Feminino",-0.54,-0.35,-0.04,9457
"estados","Alagoas","5a","Feminino",-0.1,0,0.08,39167
"estados","Amapa","5a","Feminino",-0.78,-0.5,-0.03,5817
"estados","Amazonas","5a","Feminino",-0.73,-0.47,-0.03,48873
"estados","Bahia","5a","Feminino",0,-0.04,-0.08,170969
"estados","Ceara","5a","Feminino",-0.13,0.11,0.26,114274
"estados","Distrito Federal","5a","Feminino",0.01,0.02,0.01,5668
"estados","Espirito Santo","5a","Feminino",0.07,0.13,0.11,24503
"estados","Goias","5a","Feminino",0.09,0.09,0.04,35763
"estados","Maranhao","5a","Feminino",-0.45,-0.42,-0.23,101846
"estados","Mato Grosso","5a","Feminino",-0.04,0.05,0.09,20923
"estados","Mato Grosso do Sul","5a","Feminino",-0.1,0.08,0.19,17744
"estados","Minas Gerais","5a","Feminino",0.07,0.12,0.09,140928
"estados","Para","5a","Feminino",-0.63,-0.46,-0.12,98705
"estados","Paraiba","5a","Feminino",-0.01,0.1,0.13,56466
"estados","Parana","5a","Feminino",0.04,0.21,0.26,60842
"estados","Pernambuco","5a","Feminino",0,0.13,0.18,87261
"estados","Piaui","5a","Feminino",-0.24,-0.24,-0.15,44005
"estados","Rio Grande do Norte","5a","Feminino",-0.16,0.13,0.3,34308
"estados","Rio Grande do Sul","5a","Feminino",-0.01,0.34,0.49,53658
"estados","Rio de Janeiro","5a","Feminino",-0.06,0.16,0.27,66039
"estados","Rondonia","5a","Feminino",-0.01,-0.03,-0.05,10838
"estados","Roraima","5a","Feminino",-0.48,-0.32,-0.06,6183
"estados","Santa Catarina","5a","Feminino",-0.11,0.13,0.28,18817
"estados","Sao Paulo","5a","Feminino",0.02,0.26,0.34,137905
"estados","Sergipe","5a","Feminino",0.01,0.03,0.02,27713
"estados","Tocantins","5a","Feminino",-0.16,-0.21,-0.18,17659
"estados","Acre","5a","Masculino",-0.59,-0.26,0.15,9222
"estados","Alagoas","5a","Masculino",-0.12,0.1,0.23,37294
"estados","Amapa","5a","Masculino",-0.84,-0.42,0.16,5781
"estados","Amazonas","5a","Masculino",-0.75,-0.37,0.15,47091
"estados","Bahia","5a","Masculino",-0.04,0.03,0.04,163188
"estados","Ceara","5a","Masculino",-0.15,0.23,0.44,108855
"estados","Distrito Federal","5a","Masculino",-0.04,0.06,0.08,5742
"estados","Espirito Santo","5a","Masculino",0.07,0.21,0.22,24058
"estados","Goias","5a","Masculino",0.07,0.18,0.18,35222
"estados","Maranhao","5a","Masculino",-0.52,-0.36,-0.07,97804
"estados","Mato Grosso","5a","Masculino",-0.07,0.13,0.22,19928
"estados","Mato Grosso do Sul","5a","Masculino",-0.09,0.22,0.39,17193
"estados","Minas Gerais","5a","Masculino",0.06,0.2,0.22,138714
"estados","Para","5a","Masculino",-0.69,-0.38,0.06,94404
"estados","Paraiba","5a","Masculino",0.01,0.23,0.31,55425
"estados","Parana","5a","Masculino",0.02,0.31,0.43,60249
"estados","Pernambuco","5a","Masculino",-0.01,0.23,0.32,82110
"estados","Piaui","5a","Masculino",-0.27,-0.14,0.01,43066
"estados","Rio Grande do Norte","5a","Masculino",-0.16,0.23,0.46,31603
"estados","Rio Grande do Sul","5a","Masculino",-0.02,0.45,0.66,50568
"estados","Rio de Janeiro","5a","Masculino",-0.07,0.24,0.4,60221
"estados","Rondonia","5a","Masculino",-0.01,0.08,0.09,10129
"estados","Roraima","5a","Masculino",-0.55,-0.26,0.11,5830
"estados","Santa Catarina","5a","Masculino",-0.15,0.23,0.46,18514
"estados","Sao Paulo","5a","Masculino",0.02,0.34,0.46,129558
"estados","Sergipe","5a","Masculino",-0.02,0.09,0.12,25543
"estados","Tocantins","5a","Masculino",-0.22,-0.12,-0.01,16517
"estados","Acre","6a","Feminino",-0.45,-0.26,-0.02,7947
"estados","Alagoas","6a","Feminino",-0.06,0.06,0.09,32081
"estados","Amapa","6a","Feminino",-0.67,-0.41,-0.04,4679
"estados","Amazonas","6a","Feminino",-0.62,-0.36,0,40176
"estados","Bahia","6a","Feminino",0.06,0.03,-0.05,146126
"estados","Ceara","6a","Feminino",-0.08,0.17,0.27,95881
"estados","Distrito Federal","6a","Feminino",0.1,0.1,0.02,4402
"estados","Espirito Santo","6a","Feminino",0.15,0.2,0.12,21566
"estados","Goias","6a","Feminino",0.17,0.18,0.07,30124
"estados","Maranhao","6a","Feminino",-0.37,-0.33,-0.19,85312
"estados","Mato Grosso","6a","Feminino",0.06,0.14,0.11,17212
"estados","Mato Grosso do Sul","6a","Feminino",-0.02,0.16,0.21,14933
"estados","Minas Gerais","6a","Feminino",0.13,0.18,0.12,118008
"estados","Para","6a","Feminino",-0.54,-0.37,-0.1,83701
"estados","Paraiba","6a","Feminino",0.03,0.14,0.14,49528
"estados","Parana","6a","Feminino",0.1,0.25,0.24,52748
"estados","Pernambuco","6a","Feminino",0.03,0.18,0.2,73242
"estados","Piaui","6a","Feminino",-0.18,-0.17,-0.13,37220
"estados","Rio Grande do Norte","6a","Feminino",-0.11,0.19,0.32,28276
"estados","Rio Grande do Sul","6a","Feminino",0.07,0.41,0.49,45654
"estados","Rio de Janeiro","6a","Feminino",0.04,0.26,0.3,54477
"estados","Rondonia","6a","Feminino",0.06,0.01,-0.07,9279
"estados","Roraima","6a","Feminino",-0.35,-0.2,-0.03,5028
"estados","Santa Catarina","6a","Feminino",-0.05,0.21,0.31,15827
"estados","Sao Paulo","6a","Feminino",0.12,0.34,0.35,111833
"estados","Sergipe","6a","Feminino",0.05,0.08,0.03,22931
"estados","Tocantins","6a","Feminino",-0.1,-0.13,-0.14,14818
"estados","Acre","6a","Masculino",-0.54,-0.28,0.06,7425
"estados","Alagoas","6a","Masculino",-0.12,0.07,0.18,30297
"estados","Amapa","6a","Masculino",-0.75,-0.43,0.06,4505
"estados","Amazonas","6a","Masculino",-0.72,-0.35,0.14,37038
"estados","Bahia","6a","Masculino",-0.02,0.01,-0.01,136889
"estados","Ceara","6a","Masculino",-0.14,0.21,0.4,89728
"estados","Distrito Federal","6a","Masculino",0.04,0.13,0.11,4178
"estados","Espirito Santo","6a","Masculino",0.08,0.2,0.18,20826
"estados","Goias","6a","Masculino",0.1,0.2,0.17,29204
"estados","Maranhao","6a","Masculino",-0.49,-0.37,-0.11,80284
"estados","Mato Grosso","6a","Masculino",0,0.14,0.18,16148
"estados","Mato Grosso do Sul","6a","Masculino",-0.04,0.23,0.35,14232
"estados","Minas Gerais","6a","Masculino",0.07,0.2,0.19,114833
"estados","Para","6a","Masculino",-0.65,-0.39,0,77214
"estados","Paraiba","6a","Masculino",-0.01,0.19,0.26,47922
"estados","Parana","6a","Masculino",0.05,0.29,0.36,51624
"estados","Pernambuco","6a","Masculino",-0.02,0.21,0.29,67425
"estados","Piaui","6a","Masculino",-0.25,-0.16,-0.05,35897
"estados","Rio Grande do Norte","6a","Masculino",-0.15,0.23,0.44,26013
"estados","Rio Grande do Sul","6a","Masculino",0.02,0.45,0.62,43364
"estados","Rio de Janeiro","6a","Masculino",-0.01,0.27,0.37,48418
"estados","Rondonia","6a","Masculino",0.02,0.05,0.02,8382
"estados","Roraima","6a","Masculino",-0.47,-0.27,0.01,4560
"estados","Santa Catarina","6a","Masculino",-0.12,0.23,0.42,15355
"estados","Sao Paulo","6a","Masculino",0.07,0.35,0.42,103616
"estados","Sergipe","6a","Masculino",-0.01,0.08,0.09,20446
"estados","Tocantins","6a","Masculino",-0.2,-0.14,-0.05,13689
"estados","Acre","7a","Feminino",-0.37,-0.18,0.02,4315
"estados","Alagoas","7a","Feminino",0.04,0.17,0.15,15727
"estados","Amapa","7a","Feminino",-0.54,-0.31,-0.02,1911
"estados","Amazonas","7a","Feminino",-0.48,-0.23,0.04,20976
"estados","Bahia","7a","Feminino",0.16,0.14,0.01,67739
"estados","Ceara","7a","Feminino",0.04,0.31,0.35,46643
"estados","Distrito Federal","7a","Feminino",0.17,0.23,0.13,2434
"estados","Espirito Santo","7a","Feminino",0.18,0.25,0.16,10661
"estados","Goias","7a","Feminino",0.27,0.31,0.17,14563
"estados","Maranhao","7a","Feminino",-0.25,-0.2,-0.12,46207
"estados","Mato Grosso","7a","Feminino",0.15,0.27,0.21,9279
"estados","Mato Grosso do Sul","7a","Feminino",0.1,0.29,0.28,8885
"estados","Minas Gerais","7a","Feminino",0.21,0.28,0.17,61321
"estados","Para","7a","Feminino",-0.42,-0.24,-0.04,45765
"estados","Paraiba","7a","Feminino",0.1,0.24,0.21,22107
"estados","Parana","7a","Feminino",0.15,0.33,0.3,28127
"estados","Pernambuco","7a","Feminino",0.1,0.28,0.26,34359
"estados","Piaui","7a","Feminino",-0.08,-0.05,-0.06,17453
"estados","Rio Grande do Norte","7a","Feminino",0.02,0.32,0.38,12616
"estados","Rio Grande do Sul","7a","Feminino",0.12,0.49,0.54,21668
"estados","Rio de Janeiro","7a","Feminino",0.12,0.35,0.35,25085
"estados","Rondonia","7a","Feminino",0.1,0.11,0.02,4152
"estados","Roraima","7a","Feminino",-0.18,-0.08,-0.02,2375
"estados","Santa Catarina","7a","Feminino",0.05,0.32,0.36,8828
"estados","Sao Paulo","7a","Feminino",0.21,0.45,0.41,52232
"estados","Sergipe","7a","Feminino",0.11,0.17,0.1,10047
"estados","Tocantins","7a","Feminino",0.02,-0.01,-0.08,7869
"estados","Acre","7a","Masculino",-0.49,-0.26,0.05,2327
"estados","Alagoas","7a","Masculino",-0.04,0.11,0.15,9587
"estados","Amapa","7a","Masculino",-0.64,-0.36,0.05,1212
"estados","Amazonas","7a","Masculino",-0.55,-0.25,0.13,11944
"estados","Bahia","7a","Masculino",0.05,0.05,-0.01,43324
"estados","Ceara","7a","Masculino",-0.07,0.27,0.41,27636
"estados","Distrito Federal","7a","Masculino",0.15,0.21,0.13,1362
"estados","Espirito Santo","7a","Masculino",0.09,0.17,0.14,7444
"estados","Goias","7a","Masculino",0.18,0.24,0.15,10136
"estados","Maranhao","7a","Masculino",-0.4,-0.32,-0.12,27335
"estados","Mato Grosso","7a","Masculino",0.09,0.23,0.21,5615
"estados","Mato Grosso do Sul","7a","Masculino",0.04,0.29,0.35,5417
"estados","Minas Gerais","7a","Masculino",0.13,0.24,0.19,46209
"estados","Para","7a","Masculino",-0.55,-0.33,0,25650
"estados","Paraiba","7a","Masculino",0.02,0.2,0.23,16247
"estados","Parana","7a","Masculino",0.08,0.33,0.38,22854
"estados","Pernambuco","7a","Masculino",0.03,0.24,0.28,20709
"estados","Piaui","7a","Masculino",-0.19,-0.13,-0.05,11710
"estados","Rio Grande do Norte","7a","Masculino",-0.07,0.28,0.44,8425
"estados","Rio Grande do Sul","7a","Masculino",0.08,0.49,0.62,16862
"estados","Rio de Janeiro","7a","Masculino",0.07,0.32,0.37,14724
"estados","Rondonia","7a","Masculino",0.08,0.11,0.04,2454
"estados","Roraima","7a","Masculino",-0.35,-0.28,-0.13,1192
"estados","Santa Catarina","7a","Masculino",-0.03,0.27,0.39,7032
"estados","Sao Paulo","7a","Masculino",0.15,0.42,0.44,33949
"estados","Sergipe","7a","Masculino",0.01,0.11,0.11,5760
"estados","Tocantins","7a","Masculino",-0.11,-0.08,-0.05,4892
"estados","Acre","8a","Feminino",-0.4,-0.15,0.08,3274
"estados","Alagoas","8a","Feminino",0.04,0.19,0.19,11509
"estados","Amapa","8a","Feminino",-0.43,-0.2,0.03,1124
"estados","Amazonas","8a","Feminino",-0.51,-0.24,0.05,15437
"estados","Bahia","8a","Feminino",0.17,0.19,0.08,43358
"estados","Ceara","8a","Feminino",0.04,0.33,0.39,33506
"estados","Distrito Federal","8a","Feminino",0.21,0.22,0.11,1481
"estados","Espirito Santo","8a","Feminino",0.2,0.31,0.24,7034
"estados","Goias","8a","Feminino",0.32,0.4,0.27,10064
"estados","Maranhao","8a","Feminino",-0.25,-0.14,-0.03,35902
"estados","Mato Grosso","8a","Feminino",0.15,0.33,0.3,7108
"estados","Mato Grosso do Sul","8a","Feminino",0.08,0.3,0.32,7175
"estados","Minas Gerais","8a","Feminino",0.18,0.29,0.22,45036
"estados","Para","8a","Feminino",-0.38,-0.2,-0.01,34128
"estados","Paraiba","8a","Feminino",0.08,0.26,0.25,14491
"estados","Parana","8a","Feminino",0.14,0.37,0.37,19976
"estados","Pernambuco","8a","Feminino",0.09,0.29,0.28,23905
"estados","Piaui","8a","Feminino",-0.06,0.04,0.06,10984
"estados","Rio Grande do Norte","8a","Feminino",0.02,0.37,0.44,8191
"estados","Rio Grande do Sul","8a","Feminino",0.12,0.55,0.61,13223
"estados","Rio de Janeiro","8a","Feminino",0.18,0.43,0.41,15142
"estados","Rondonia","8a","Feminino",0.07,0.1,0.03,3022
"estados","Roraima","8a","Feminino",-0.22,0.02,0.17,1769
"estados","Santa Catarina","8a","Feminino",0.05,0.37,0.43,6638
"estados","Sao Paulo","8a","Feminino",0.2,0.46,0.44,35908
"estados","Sergipe","8a","Feminino",0.11,0.24,0.2,7255
"estados","Tocantins","8a","Feminino",0.02,0.05,0.01,6379
"estados","Acre","8a","Masculino",-0.44,-0.27,-0.05,315
"estados","Alagoas","8a","Masculino",-0.01,0.13,0.16,2584
"estados","Amapa","8a","Masculino",-0.54,-0.25,0.08,168
"estados","Amazonas","8a","Masculino",-0.49,-0.24,0.05,2948
"estados","Bahia","8a","Masculino",0.06,0.08,0.01,7304
"estados","Ceara","8a","Masculino",-0.06,0.33,0.47,5600
"estados","Distrito Federal","8a","Masculino",-0.05,0.16,0.24,75
"estados","Espirito Santo","8a","Masculino",0.07,0.21,0.19,2152
"estados","Goias","8a","Masculino",0.21,0.36,0.28,2998
"estados","Maranhao","8a","Masculino",-0.38,-0.29,-0.12,5946
"estados","Mato Grosso","8a","Masculino",0.2,0.35,0.28,1776
"estados","Mato Grosso do Sul","8a","Masculino",0.11,0.37,0.4,1917
"estados","Minas Gerais","8a","Masculino",0.14,0.28,0.24,21816
"estados","Para","8a","Masculino",-0.49,-0.27,0.01,4713
"estados","Paraiba","8a","Masculino",-0.02,0.17,0.21,4228
"estados","Parana","8a","Masculino",0.07,0.37,0.43,11888
"estados","Pernambuco","8a","Masculino",0.02,0.25,0.28,3305
"estados","Piaui","8a","Masculino",-0.12,-0.03,0.01,2210
"estados","Rio Grande do Norte","8a","Masculino",-0.03,0.37,0.5,1986
"estados","Rio Grande do Sul","8a","Masculino",0.1,0.59,0.72,7096
"estados","Rio de Janeiro","8a","Masculino",0.22,0.41,0.36,2695
"estados","Rondonia","8a","Masculino",0.16,0.28,0.22,782
"estados","Roraima","8a","Masculino",-0.33,0.09,0.36,132
"estados","Santa Catarina","8a","Masculino",0.01,0.36,0.47,3780
"estados","Sao Paulo","8a","Masculino",0.21,0.54,0.54,10511
"estados","Sergipe","8a","Masculino",0.05,0.05,-0.03,908
"estados","Tocantins","8a","Masculino",-0.01,0.05,0.03,1881
"estados","Acre","9a","Feminino",-0.44,-0.16,0.08,2877
"estados","Alagoas","9a","Feminino",-0.04,0.14,0.18,10903
"estados","Amapa","9a","Feminino",-0.45,-0.19,0.05,986
"estados","Amazonas","9a","Feminino",-0.56,-0.24,0.07,14108
"estados","Bahia","9a","Feminino",0.11,0.15,0.08,40465
"estados","Ceara","9a","Feminino",-0.08,0.25,0.36,32220
"estados","Distrito Federal","9a","Feminino",0.19,0.21,0.1,1248
"estados","Espirito Santo","9a","Feminino",0.15,0.28,0.24,6255
"estados","Goias","9a","Feminino",0.23,0.35,0.27,9110
"estados","Maranhao","9a","Feminino",-0.33,-0.18,-0.03,34520
"estados","Mato Grosso","9a","Feminino",0.08,0.29,0.3,6593
"estados","Mato Grosso do Sul","9a","Feminino",0.04,0.29,0.34,6490
"estados","Minas Gerais","9a","Feminino",0.11,0.25,0.22,41647
"estados","Para","9a","Feminino",-0.45,-0.24,-0.02,31419
"estados","Paraiba","9a","Feminino",-0.03,0.19,0.23,13150
"estados","Parana","9a","Feminino",0.07,0.35,0.39,17837
"estados","Pernambuco","9a","Feminino",-0.01,0.23,0.27,22674
"estados","Piaui","9a","Feminino",-0.16,-0.02,0.05,10552
"estados","Rio Grande do Norte","9a","Feminino",-0.04,0.31,0.41,7972
"estados","Rio Grande do Sul","9a","Feminino",0.1,0.54,0.61,11575
"estados","Rio de Janeiro","9a","Feminino",0.13,0.39,0.4,12986
"estados","Rondonia","9a","Feminino",-0.03,0.04,0.03,2992
"estados","Roraima","9a","Feminino",-0.17,0.09,0.22,1700
"estados","Santa Catarina","9a","Feminino",-0.03,0.31,0.4,5844
"estados","Sao Paulo","9a","Feminino",0.16,0.44,0.45,32637
"estados","Sergipe","9a","Feminino",0.04,0.18,0.18,6948
"estados","Tocantins","9a","Feminino",-0.01,0.02,0.01,6066
"estados","Acre","9a","Masculino",-0.43,-0.17,0.09,266
"estados","Alagoas","9a","Masculino",-0.06,0.19,0.26,2176
"estados","Amapa","9a","Masculino",-0.51,-0.37,-0.13,130
"estados","Amazonas","9a","Masculino",-0.53,-0.17,0.17,2510
"estados","Bahia","9a","Masculino",0.07,0.12,0.06,5590
"estados","Ceara","9a","Masculino",-0.1,0.34,0.51,4703
